title,abstract,doi,year,citations,source,doi_norm
Graph-patchformer: Patch interaction transformer with adaptive graph learning for multivariate time series forecasting,,10.1016/j.neunet.2025.108140,2026,0,Scopus,10.1016/j.neunet.2025.108140
Dual Attention Transformer with Multi-scale Perception for Multivariate Time Series Forecasting,,10.1007/978-981-95-3052-6_24,2026,0,Scopus,10.1007/978-981-95-3052-6_24
Enhancing Salesforce Sales Forecasting with Contrastive Learning-Based Time Series Representation,,10.1007/978-3-032-03558-5_29,2026,0,Scopus,10.1007/978-3-032-03558-5_29
M3E: Mixture of Multi-scale Multi-modal Experts for Time Series Forecasting,,10.1007/978-981-95-3398-5_6,2026,0,Scopus,10.1007/978-981-95-3398-5_6
DiM: Improving multivariate time series forecasting with DI embedding and multi-head graph learning mechanism,,10.1016/j.neucom.2025.131777,2026,0,Scopus,10.1016/j.neucom.2025.131777
Attention-based spatial-temporal interactive couple neural networks for multivariate time series forecasting,,10.1016/j.ins.2025.122647,2026,0,Scopus,10.1016/j.ins.2025.122647
Multi-resolution leak detection based on shared expert MoE forecasting for natural gas pipelines,,10.1016/j.ipm.2025.104353,2026,0,Scopus,10.1016/j.ipm.2025.104353
An Efficient Denoising Transformer-Based Architecture for Long-Ranged Time-Series Air Quality Prediction,,10.1002/cpe.70450,2025,0,Scopus,10.1002/cpe.70450
Adaptive hybrid spatial hypergraph convolution module with data embedding optimization for stock ranking prediction,,10.1016/j.physa.2025.131046,2025,0,Scopus,10.1016/j.physa.2025.131046
MillGNN: Learning Multi-Scale Lead-Lag Dependencies for Multi-Variate Time Series Forecasting,,10.1145/3746252.3761173,2025,0,Scopus,10.1145/3746252.3761173
Structural Entropy-based Multivariate Time Series Forecasting,,10.1145/3746252.3761007,2025,0,Scopus,10.1145/3746252.3761007
TD-IVDM: A multi-scale concept drift detection method for time series forecasting tasks,,10.1016/j.neucom.2025.131120,2025,0,Scopus,10.1016/j.neucom.2025.131120
Financial Time Series Prediction With Multi-Granularity Graph Augmented Learning,,10.1109/tkde.2025.3607005,2025,1,Scopus,10.1109/tkde.2025.3607005
PRformer: Pyramidal recurrent transformer for multivariate time series forecasting,,10.1016/j.neunet.2025.107769,2025,0,Scopus,10.1016/j.neunet.2025.107769
From a multi-period perspective: A periodic dynamics forecasting network for multivariate time series forecasting,,10.1016/j.patcog.2025.111760,2025,1,Scopus,10.1016/j.patcog.2025.111760
LLM-Empowered Kolmogorov-Arnold Frequency Learning for Time Series Forecasting in Power Systems,,10.3390/math13193149,2025,0,Scopus,10.3390/math13193149
Learnable decomposition meets the neuro-fuzzy learning for robust rich spatial–temporal feature representation learning and better stock price forecasting,,10.1007/s00500-025-10898-0,2025,0,Scopus,10.1007/s00500-025-10898-0
DS-SGCHN: dynamic-static synergetic graph convolutional hierarchical network for traffic forecasting,,10.1088/1361-6501/ae014b,2025,0,Scopus,10.1088/1361-6501/ae014b
A Survey on Kolmogorov-Arnold Network,,10.1145/3743128,2025,25,Scopus,10.1145/3743128
A novel deep graph learning-based multivariate clustering method for time series forecasting of complex chemical systems,,10.1016/j.compchemeng.2025.109214,2025,0,Scopus,10.1016/j.compchemeng.2025.109214
Imputation via Domain Adaptation: Rethinking Variable Subset Forecasting from Knowledge Transfer,,10.1145/3711896.3737007,2025,0,Scopus,10.1145/3711896.3737007
Merlin: Multi-View Representation Learning for Robust Multivariate Time Series Forecasting with Unfixed Missing Rates,,10.1145/3711896.3737046,2025,1,Scopus,10.1145/3711896.3737046
Stochastic Diffusion: A Diffusion Based Model for Stochastic Time Series Forecasting,,10.1145/3711896.3737137,2025,2,Scopus,10.1145/3711896.3737137
FAT: Frequency-Aware Pretraining for Enhanced Time-Series Representation Learning,,10.1145/3711896.3736952,2025,1,Scopus,10.1145/3711896.3736952
TSGformer: A Unified Temporal–Spatial Graph Transformer with Adaptive Cross-Scale Modeling for Multivariate Time Series,,10.3390/systems13080688,2025,0,Scopus,10.3390/systems13080688
VCformer: Variable-Centric Multi-Scale Transformer for Multivariate Time Series Forecasting,,10.3390/s25165202,2025,0,Scopus,10.3390/s25165202
SSSLN:Multivariate Time Series Forecasting via Collaborative Dynamic Graph Learning,,10.1016/j.neunet.2025.107485,2025,0,Scopus,10.1016/j.neunet.2025.107485
A temporal graph-based contrastive approach for financial time series forecasting,,10.1016/j.engappai.2025.110834,2025,1,Scopus,10.1016/j.engappai.2025.110834
Heteroscedastic ensemble deep random vector functional link neural network with multiple output layers for High Frequency Volatility Forecasting and Risk Assessment,,10.1016/j.neucom.2025.130078,2025,1,Scopus,10.1016/j.neucom.2025.130078
A dynamic graph-based multiscale spatio-temporal feature enhancement network applied to ENSO prediction,,10.1007/s10489-025-06691-z,2025,0,Scopus,10.1007/s10489-025-06691-z
Popularity-aware dynamic graph neural collaborative filtering with local-global convergence,,10.1016/j.asoc.2025.113289,2025,0,Scopus,10.1016/j.asoc.2025.113289
AGGA-MVFLN: Multivariate Time Series Forecasting via Adaptive Generalized Graph Accompanied with Multi-View Learning in Frequency Domain,,10.1145/3731715.3733272,2025,0,Scopus,10.1145/3731715.3733272
Self-Optimizing Teacher and Auto-Matching Student Framework for Change-Point Representation Learning in Time Series Forecasting,,10.1145/3718091,2025,0,Scopus,10.1145/3718091
Gaze Prediction as a Function of Eye Movement Type and Individual Differences,,10.1145/3715669.3723116,2025,0,Scopus,10.1145/3715669.3723116
Intra and inter-series pattern representations fusion network for multiple time series forecasting,,10.1016/j.asoc.2025.113024,2025,0,Scopus,10.1016/j.asoc.2025.113024
Evolving graph structure learning for multivariate time series forecasting,,10.1016/j.knosys.2025.113190,2025,1,Scopus,10.1016/j.knosys.2025.113190
Beyond spatial neighbors: Utilizing multivariate transfer entropy for interpretable graph-based spatio–temporal forecasting,,10.1016/j.engappai.2025.110161,2025,1,Scopus,10.1016/j.engappai.2025.110161
Ada-STGMAT: An adaptive spatio-temporal graph multi-attention network for intelligent time series forecasting in smart cities,,10.1016/j.eswa.2025.126428,2025,9,Scopus,10.1016/j.eswa.2025.126428
LLM4TS: Aligning Pre-Trained LLMs as Data-Efficient Time-Series Forecasters,,10.1145/3719207,2025,25,Scopus,10.1145/3719207
TITD: enhancing optimized temporal position encoding with time intervals and temporal decay in irregular time series forecasting,,10.1007/s10489-025-06293-9,2025,2,Scopus,10.1007/s10489-025-06293-9
Adaptive Non-Stationary Fuzzy Time Series Forecasting with Bayesian Networks,,10.3390/s25051628,2025,1,Scopus,10.3390/s25051628
Knowledge-enhanced data-driven modeling of wastewater treatment processes for energy consumption prediction,,10.1016/j.compchemeng.2024.108982,2025,2,Scopus,10.1016/j.compchemeng.2024.108982
Heterogeneous Graph Transformer Auto-Encoder for multivariate time series forecasting,,10.1016/j.compeleceng.2024.109927,2025,0,Scopus,10.1016/j.compeleceng.2024.109927
Forecasting of exchange rate time series based on event-aware transformer mode,,10.1007/s00500-025-10558-3,2025,1,Scopus,10.1007/s00500-025-10558-3
Fuzzy-Probabilistic Time Series Forecasting Combining Bayesian Network and Fuzzy Time Series Model,,10.3390/sym17020275,2025,1,Scopus,10.3390/sym17020275
Parallel multi-scale dynamic graph neural network for multivariate time series forecasting,,10.1016/j.patcog.2024.111037,2025,10,Scopus,10.1016/j.patcog.2024.111037
A Memory Guided Transformer for Time Series Forecasting,,10.14778/3705829.3705842,2025,3,Scopus,10.14778/3705829.3705842
TSI: A Multi-view Representation Learning Approach for Time Series Forecasting,,10.1007/978-981-96-0348-0_21,2025,0,Scopus,10.1007/978-981-96-0348-0_21
Time-lagged relation graph neural network for multivariate time series forecasting,,10.1016/j.engappai.2024.109530,2025,3,Scopus,10.1016/j.engappai.2024.109530
Mitigating Channel Redundancy for Multivariate Time Series Forecasting,,10.1109/ijcnn64981.2025.11228045,2025,0,Scopus,10.1109/ijcnn64981.2025.11228045
TravelNet: A Recursive Decomposition-Based Time Series Forecasting Framework for Bus Travel Time Estimation,,10.1109/ijcnn64981.2025.11228543,2025,0,Scopus,10.1109/ijcnn64981.2025.11228543
A Hybrid BERT-ELM Framework for Robust Time Series Forecasting of Solar Energy Generation in EU Renewable Power Plants,,10.37394/232016.2025.20.25,2025,0,Scopus,10.37394/232016.2025.20.25
AdaPTS: Adapting Univariate Foundation Models to Probabilistic Multivariate Time Series Forecasting,,,2025,0,Scopus,
Multi-Dimensional Series Forecasting for Multi-Node Microservices: Leveraging Specialized Embedding in LLMs,,10.1109/hpcc67675.2025.00030,2025,0,Scopus,10.1109/hpcc67675.2025.00030
FusionBC: Contrastive Graph and Information Bottleneck Fusion Learning for Time Series Forecasting,,10.1109/hpcc67675.2025.00040,2025,0,Scopus,10.1109/hpcc67675.2025.00040
FreEformer: Frequency Enhanced Transformer for Multivariate Time Series Forecasting,,10.24963/ijcai.2025/401,2025,0,Scopus,10.24963/ijcai.2025/401
Transformer-PLM Enhanced Multimodal Time Series Forecasting via Decoupled Dual-Temporal Graph Adaptation,,10.1109/lsp.2025.3630087,2025,0,Scopus,10.1109/lsp.2025.3630087
DGraFormer: Dynamic Graph Learning Guided Multi-Scale Transformer for Multivariate Time Series Forecasting,,10.24963/ijcai.2025/391,2025,0,Scopus,10.24963/ijcai.2025/391
Dynamic graph structure correction with nonadjacent correlations for multivariate time series forecasting,,10.1016/j.eswa.2025.129768,2025,0,Scopus,10.1016/j.eswa.2025.129768
Time series forecasting of network traffic with latent domain generalization: Addressing out-of-distribution challenges,,10.1007/s10844-025-01001-y,2025,0,Scopus,10.1007/s10844-025-01001-y
Decomposing masked time series model: a self-supervised time-series forecasting framework,,10.1117/12.3068730,2025,0,Scopus,10.1117/12.3068730
UFGTime: Mining Intertwined Dependencies in Multivariate Time Series via an Efficient Pure Graph Approach,,10.14778/3746405.3746436,2025,0,Scopus,10.14778/3746405.3746436
STCA-LLM: Spatial–Temporal Cross-Attention Large Language Model for Wind Speed Forecasting,,10.1109/jiot.2025.3599836,2025,1,Scopus,10.1109/jiot.2025.3599836
MORL: A Multi-Objective Representation Learning Modeling for Time Series Forecasting,,10.1109/icsp65755.2025.11086755,2025,0,Scopus,10.1109/icsp65755.2025.11086755
Semi4TSF: End-to-End Semi-Supervised Contrastive Representation Learning for Time Series Forecasting,,10.1109/tii.2025.3588582,2025,1,Scopus,10.1109/tii.2025.3588582
Shareformer: A Patch Transformer Model with Shared Attention for Multivariate Time Series Forecasting,,10.1007/978-981-96-9875-2_27,2025,0,Scopus,10.1007/978-981-96-9875-2_27
CRGNet: Learning Causal Relationships for Multivariate Time Series Forecasting,,10.1007/978-981-96-9818-9_15,2025,0,Scopus,10.1007/978-981-96-9818-9_15
A Novel Discrete Time Series Representation With De Bruijn Graphs for Enhanced Forecasting Using TimesNet,,10.1109/access.2025.3588507,2025,0,Scopus,10.1109/access.2025.3588507
A Graph SIR Network Based on Dynamic Graph Structures and Residual Learning for Epidemic Prediction,,10.1109/tce.2025.3587036,2025,0,Scopus,10.1109/tce.2025.3587036
A Survey on Neural Ordinary Differential Equations,,10.1007/978-981-96-8183-9_27,2025,1,Scopus,10.1007/978-981-96-8183-9_27
Fourier-driven Lightweight Token Mixing Model for Efficient Time Series Forecasting,,10.1109/tai.2025.3584693,2025,1,Scopus,10.1109/tai.2025.3584693
EGENN: An Efficient Graph-Enhanced Neural Network for Multivariate Time Series Forecasting,,10.1109/icassp49660.2025.10890196,2025,0,Scopus,10.1109/icassp49660.2025.10890196
GT-LSTM: Integrating High-Resolution Particulate Matter Data for Urban Air Quality Forecasting,,10.1007/978-3-031-95728-4_5,2025,0,Scopus,10.1007/978-3-031-95728-4_5
Two-in-One Models for Event Prediction and Time Series Forecasting. Comparison of Four Deep Learning Approaches to Simulate a Digital Patient Under Anesthesia,,10.1007/978-3-031-91398-3_28,2025,0,Scopus,10.1007/978-3-031-91398-3_28
A Multi-scenario Attention-based Generative Model for Personalized Blood Pressure Time Series Forecasting,,10.1109/icassp49660.2025.10889293,2025,1,Scopus,10.1109/icassp49660.2025.10889293
A Data-Level Augmentation Framework for Time Series Forecasting With Ambiguously Related Source Data,,10.1109/tkde.2025.3555530,2025,1,Scopus,10.1109/tkde.2025.3555530
Adaptive Graph Structure Learning Neural Rough Differential Equations for Multivariate Time Series Forecasting,,10.1109/tbdata.2025.3552334,2025,2,Scopus,10.1109/tbdata.2025.3552334
Scale-Aware Neural Architecture Search for Multivariate Time Series Forecasting,,10.1145/3701038,2024,4,Scopus,10.1145/3701038
VTNet: A multi-domain information fusion model for long-term multi-variate time series forecasting with application in irrigation water level,,10.1016/j.asoc.2024.112251,2024,5,Scopus,10.1016/j.asoc.2024.112251
Contrastive learning enhanced by graph neural networks for Universal Multivariate Time Series Representation,,10.1016/j.is.2024.102429,2024,2,Scopus,10.1016/j.is.2024.102429
Navigating Weight Prediction with Diet Diary,,10.1145/3664647.3680977,2024,3,Scopus,10.1145/3664647.3680977
Dynamic Spatial-Temporal Embedding via Neural Conditional Random Field for Multivariate Time Series Forecasting,,10.1145/3675165,2024,0,Scopus,10.1145/3675165
Breaking the Weak Semantics Bottleneck of Transformers in Time Series Forecasting,,10.3233/faia240645,2024,0,Scopus,10.3233/faia240645
Mining latent patterns with multi-scale decomposition for electricity demand and price forecasting using modified deep graph convolutional neural networks,,10.1016/j.segan.2024.101436,2024,10,Scopus,10.1016/j.segan.2024.101436
Recurrent ensemble random vector functional link neural network for financial time series forecasting,,10.1016/j.asoc.2024.111759,2024,35,Scopus,10.1016/j.asoc.2024.111759
Root cause localization for wind turbines using physics guided multivariate graphical modeling and fault propagation analysis,,10.1016/j.knosys.2024.111838,2024,13,Scopus,10.1016/j.knosys.2024.111838
DPHM-Net:de-redundant multi-period hybrid modeling network for long-term series forecasting,,10.1007/s11280-024-01281-4,2024,2,Scopus,10.1007/s11280-024-01281-4
Distillation enhanced time series forecasting network with momentum contrastive learning,,10.1016/j.ins.2024.120712,2024,6,Scopus,10.1016/j.ins.2024.120712
Toward Using Representation Learning for Cloud Resource Usage Forecasting,,10.1145/3660605.3660942,2024,0,Scopus,10.1145/3660605.3660942
A hybrid forecasting system using convolutional-based extreme learning with extended elephant herd optimization for time-series prediction,,10.1007/s00500-023-09499-6,2024,4,Scopus,10.1007/s00500-023-09499-6
Dynamic multi-fusion spatio-temporal graph neural network for multivariate time series forecasting,,10.1016/j.eswa.2023.122729,2024,16,Scopus,10.1016/j.eswa.2023.122729
Time-aware personalized graph convolutional network for multivariate time series forecasting,,10.1016/j.eswa.2023.122471,2024,11,Scopus,10.1016/j.eswa.2023.122471
A Cross-View Hierarchical Graph Learning Hypernetwork for Skill Demand-Supply Joint Prediction,,10.1609/aaai.v38i18.29956,2024,4,Scopus,10.1609/aaai.v38i18.29956
Learning from Polar Representation: An Extreme-Adaptive Model for Long-Term Time Series Forecasting,,10.1609/aaai.v38i1.27768,2024,11,Scopus,10.1609/aaai.v38i1.27768
Attentive neural controlled differential equations for time-series classification and forecasting,,10.1007/s10115-023-01977-5,2024,12,Scopus,10.1007/s10115-023-01977-5
Bayesian network based probabilistic weighted high-order fuzzy time series forecasting,,10.1016/j.eswa.2023.121430,2024,19,Scopus,10.1016/j.eswa.2023.121430
AMGCN: adaptive multigraph convolutional networks for traffic speed forecasting,,10.1007/s10489-024-05301-8,2024,3,Scopus,10.1007/s10489-024-05301-8
Deep joint modelling of mixed asynchronous streams - Proof of concept for data-driven simulation of a digital patient under anaesthesia,,10.1016/j.procs.2024.09.438,2024,1,Scopus,10.1016/j.procs.2024.09.438
Multivariate Segment Expandable Encoder-Decoder Model for Time Series Forecasting,,10.1109/access.2024.3513256,2024,1,Scopus,10.1109/access.2024.3513256
A Novel Discrete Time Series Representation with De Bruijn Graphs for Enhanced Forecasting Using TimesNet (Extended Abstract),,10.1109/dsaa61799.2024.10722826,2024,2,Scopus,10.1109/dsaa61799.2024.10722826
Long-Term Interpretable Air Quality Trend Forecasting via Directed Interval Fuzzy Cognitive Maps,,10.1109/tfuzz.2024.3482282,2024,4,Scopus,10.1109/tfuzz.2024.3482282
Long Sequence Multivariate Time-Series Forecasting for Industrial Processes Using SASGNN,,10.1109/tii.2024.3424214,2024,5,Scopus,10.1109/tii.2024.3424214
FedDGCL: Federated Graph Neural Network with Dual Graph Contrast Learning for Multivariable Time Series Forecasting,,10.1007/978-981-97-5552-3_27,2024,0,Scopus,10.1007/978-981-97-5552-3_27
MLFGCN: short-term residential load forecasting via graph attention temporal convolution network,,10.3389/fnbot.2024.1461403,2024,5,Scopus,10.3389/fnbot.2024.1461403
STGNA: Spatial-Temporal Graph Convolutional Networks with Node Level Attention for Shortwave Communications Parameters Forecasting,,10.1007/978-3-031-72344-5_14,2024,0,Scopus,10.1007/978-3-031-72344-5_14
ESSformer: Transformers with ESS Attention for Long-Term Series Forecasting,,10.1007/978-3-031-72347-6_15,2024,0,Scopus,10.1007/978-3-031-72347-6_15
Time Series Forecasting Based on Structured Decomposition and Variational Autoencoder,,10.1109/ijcnn60899.2024.10650587,2024,0,Scopus,10.1109/ijcnn60899.2024.10650587
CNN-Based Time Series Decomposition Model for Video Prediction,,10.1109/access.2024.3458460,2024,1,Scopus,10.1109/access.2024.3458460
Dynamic Personalized Graph Neural Ordinary Differential Equation Network for Multivariate Time Series Prediction of Chemical Processes,,10.1109/ddcls61622.2024.10606557,2024,0,Scopus,10.1109/ddcls61622.2024.10606557
Generative Representation Learning in Recurrent Neural Networks for Causal Timeseries Forecasting,,10.1109/tai.2024.3446465,2024,2,Scopus,10.1109/tai.2024.3446465
Learning Time-Aware Graph Structures for Spatially Correlated Time Series Forecasting,,10.1109/icde60146.2024.00338,2024,17,Scopus,10.1109/icde60146.2024.00338
TimeDRL: Disentangled Representation Learning for Multivariate Time-Series,,10.1109/icde60146.2024.00054,2024,18,Scopus,10.1109/icde60146.2024.00054
Predictive modeling of Alzheimer's disease progression: Integrating temporal clinical factors and outcomes in time series forecasting,,10.1016/j.ibmed.2024.100159,2024,4,Scopus,10.1016/j.ibmed.2024.100159
A Regional Short-term Load Forecasting Method Based on Adaptive Graph Construction and Kernel Size Selection,,10.1109/icps60943.2024.10563907,2024,1,Scopus,10.1109/icps60943.2024.10563907
GTformer: Graph-Based Temporal-Order-Aware Transformer for Long-Term Series Forecasting,,10.1109/jiot.2024.3419768,2024,11,Scopus,10.1109/jiot.2024.3419768
Time Series Representation Learning: A Survey on Deep Learning Techniques for Time Series Forecasting,,10.1007/978-3-031-60606-9_25,2024,1,Scopus,10.1007/978-3-031-60606-9_25
Kernel Representation Learning with Dynamic Regime Discovery for Time Series Forecasting,,10.1007/978-981-97-2266-2_20,2024,7,Scopus,10.1007/978-981-97-2266-2_20
"Self-Supervised Learning for Time Series Analysis: Taxonomy, Progress, and Prospects",,10.1109/tpami.2024.3387317,2024,142,Scopus,10.1109/tpami.2024.3387317
TimeGNN: Temporal Dynamic Graph Learning for Time Series Forecasting,,10.1007/978-3-031-53468-3_8,2024,13,Scopus,10.1007/978-3-031-53468-3_8
Wind Power Forecasting Based on a Spatial-Temporal Graph Convolution Network with Limited Engineering Knowledge,,10.1109/tim.2024.3374321,2024,16,Scopus,10.1109/tim.2024.3374321
Dynamic Hypergraph Structure Learning for Multivariate Time Series Forecasting,,10.1109/tbdata.2024.3362188,2024,25,Scopus,10.1109/tbdata.2024.3362188
TimeTuner: Diagnosing Time Representations for Time-Series Forecasting with Counterfactual Explanations,,10.1109/tvcg.2023.3327389,2024,6,Scopus,10.1109/tvcg.2023.3327389
Time-Series Forecasting Through Contrastive Learning with a Two-Dimensional Self-attention Mechanism,,10.1007/978-981-99-8082-6_12,2024,2,Scopus,10.1007/978-981-99-8082-6_12
Multi-scale Multi-step Dependency Graph Neural Network for Multivariate Time-Series Forecasting,,10.1007/978-981-99-8132-8_8,2024,2,Scopus,10.1007/978-981-99-8132-8_8
Dynamic personalized graph neural network with linear complexity for multivariate time series forecasting,,10.1016/j.engappai.2023.107291,2024,9,Scopus,10.1016/j.engappai.2023.107291
Simple Contrastive Representation Learning for Time Series Forecasting,,10.1109/icassp48485.2024.10446875,2024,6,Scopus,10.1109/icassp48485.2024.10446875
