title,abstract,doi,year,citations,source
Graph-patchformer: Patch interaction transformer with adaptive graph learning for multivariate time series forecasting,,10.1016/j.neunet.2025.108140,2026,0,Scopus
Dual Attention Transformer with Multi-scale Perception for Multivariate Time Series Forecasting,,10.1007/978-981-95-3052-6_24,2026,0,Scopus
Enhancing Salesforce Sales Forecasting with Contrastive Learning-Based Time Series Representation,,10.1007/978-3-032-03558-5_29,2026,0,Scopus
M3E: Mixture of Multi-scale Multi-modal Experts for Time Series Forecasting,,10.1007/978-981-95-3398-5_6,2026,0,Scopus
DiM: Improving multivariate time series forecasting with DI embedding and multi-head graph learning mechanism,,10.1016/j.neucom.2025.131777,2026,0,Scopus
Attention-based spatial-temporal interactive couple neural networks for multivariate time series forecasting,,10.1016/j.ins.2025.122647,2026,0,Scopus
Multi-resolution leak detection based on shared expert MoE forecasting for natural gas pipelines,,10.1016/j.ipm.2025.104353,2026,0,Scopus
An Efficient Denoising Transformer-Based Architecture for Long-Ranged Time-Series Air Quality Prediction,,10.1002/cpe.70450,2025,0,Scopus
Adaptive hybrid spatial hypergraph convolution module with data embedding optimization for stock ranking prediction,,10.1016/j.physa.2025.131046,2025,0,Scopus
MillGNN: Learning Multi-Scale Lead-Lag Dependencies for Multi-Variate Time Series Forecasting,,10.1145/3746252.3761173,2025,0,Scopus
Structural Entropy-based Multivariate Time Series Forecasting,,10.1145/3746252.3761007,2025,0,Scopus
TD-IVDM: A multi-scale concept drift detection method for time series forecasting tasks,,10.1016/j.neucom.2025.131120,2025,0,Scopus
Financial Time Series Prediction With Multi-Granularity Graph Augmented Learning,,10.1109/tkde.2025.3607005,2025,1,Scopus
PRformer: Pyramidal recurrent transformer for multivariate time series forecasting,,10.1016/j.neunet.2025.107769,2025,0,Scopus
From a multi-period perspective: A periodic dynamics forecasting network for multivariate time series forecasting,,10.1016/j.patcog.2025.111760,2025,1,Scopus
LLM-Empowered Kolmogorov-Arnold Frequency Learning for Time Series Forecasting in Power Systems,,10.3390/math13193149,2025,0,Scopus
Learnable decomposition meets the neuro-fuzzy learning for robust rich spatial–temporal feature representation learning and better stock price forecasting,,10.1007/s00500-025-10898-0,2025,0,Scopus
DS-SGCHN: dynamic-static synergetic graph convolutional hierarchical network for traffic forecasting,,10.1088/1361-6501/ae014b,2025,0,Scopus
A Survey on Kolmogorov-Arnold Network,,10.1145/3743128,2025,25,Scopus
A novel deep graph learning-based multivariate clustering method for time series forecasting of complex chemical systems,,10.1016/j.compchemeng.2025.109214,2025,0,Scopus
Imputation via Domain Adaptation: Rethinking Variable Subset Forecasting from Knowledge Transfer,,10.1145/3711896.3737007,2025,0,Scopus
Merlin: Multi-View Representation Learning for Robust Multivariate Time Series Forecasting with Unfixed Missing Rates,,10.1145/3711896.3737046,2025,1,Scopus
Stochastic Diffusion: A Diffusion Based Model for Stochastic Time Series Forecasting,,10.1145/3711896.3737137,2025,2,Scopus
FAT: Frequency-Aware Pretraining for Enhanced Time-Series Representation Learning,,10.1145/3711896.3736952,2025,1,Scopus
TSGformer: A Unified Temporal–Spatial Graph Transformer with Adaptive Cross-Scale Modeling for Multivariate Time Series,,10.3390/systems13080688,2025,0,Scopus
VCformer: Variable-Centric Multi-Scale Transformer for Multivariate Time Series Forecasting,,10.3390/s25165202,2025,0,Scopus
SSSLN:Multivariate Time Series Forecasting via Collaborative Dynamic Graph Learning,,10.1016/j.neunet.2025.107485,2025,0,Scopus
A temporal graph-based contrastive approach for financial time series forecasting,,10.1016/j.engappai.2025.110834,2025,1,Scopus
Heteroscedastic ensemble deep random vector functional link neural network with multiple output layers for High Frequency Volatility Forecasting and Risk Assessment,,10.1016/j.neucom.2025.130078,2025,1,Scopus
A dynamic graph-based multiscale spatio-temporal feature enhancement network applied to ENSO prediction,,10.1007/s10489-025-06691-z,2025,0,Scopus
Popularity-aware dynamic graph neural collaborative filtering with local-global convergence,,10.1016/j.asoc.2025.113289,2025,0,Scopus
AGGA-MVFLN: Multivariate Time Series Forecasting via Adaptive Generalized Graph Accompanied with Multi-View Learning in Frequency Domain,,10.1145/3731715.3733272,2025,0,Scopus
Self-Optimizing Teacher and Auto-Matching Student Framework for Change-Point Representation Learning in Time Series Forecasting,,10.1145/3718091,2025,0,Scopus
Gaze Prediction as a Function of Eye Movement Type and Individual Differences,,10.1145/3715669.3723116,2025,0,Scopus
Intra and inter-series pattern representations fusion network for multiple time series forecasting,,10.1016/j.asoc.2025.113024,2025,0,Scopus
Evolving graph structure learning for multivariate time series forecasting,,10.1016/j.knosys.2025.113190,2025,1,Scopus
Beyond spatial neighbors: Utilizing multivariate transfer entropy for interpretable graph-based spatio–temporal forecasting,,10.1016/j.engappai.2025.110161,2025,1,Scopus
