"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Simple Contrastive Representation Learning for Time Series Forecasting","X. Zheng; X. Chen; M. Schürch; A. Mollaysa; A. Allam; M. Krauthammer",University of Zürich; ETH Zürich; University of Zürich; University of Zürich; University of Zürich; University of Zürich,"ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","18 Mar 2024","2024","","","6005","6009","Contrastive learning methods have shown an impressive ability to learn meaningful representations for image or time series classification. However, these methods are less effective for time series forecasting, as optimization of instance discrimination is not directly applicable to predicting the future state from the historical context. To address these limitations, we propose SimTS, a simple representation learning approach for improving time series forecasting by learning to predict the future from the past in the latent space. SimTS exclusively uses positive pairs and does not depend on negative pairs or specific characteristics of a given time series. In addition, we show the shortcomings of the current contrastive learning framework used for time series forecasting through a detailed ablation study. Overall, our work suggests that SimTS is a promising alternative to other contrastive learning approaches for time series forecasting.","2379-190X","979-8-3503-4485-1","10.1109/ICASSP48485.2024.10446875","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10446875","Contrastive Learning;Time Series Forecasting;Representation Learning","Representation learning;Time series analysis;Self-supervised learning;Predictive models;Signal processing;Data augmentation;Acoustics","","18","","26","IEEE","18 Mar 2024","","","IEEE","IEEE Conferences"
"MORL: A Multi-Objective Representation Learning Modeling for Time Series Forecasting","J. Zhai; Z. Kan","School of Computer and Big Data, Heilongjiang University, Harbin, China; School of Computer and Big Data, Heilongjiang University, Harbin, China",2025 10th International Conference on Intelligent Computing and Signal Processing (ICSP),"28 Jul 2025","2025","","","1214","1218","Time series representation learning has a wide range of applications, including forecasting, classification, and anomaly detection. The primary challenge in the forecasting task is to learn high-quality representations from raw data using appropriate pre-training methods. This ensures that the model performs well without sacrificing generalization and robustness, making it useful for subsequent tasks. In this context, we introduce MORL, a simple yet effective approach for time series forecasting. MORL is based on three key components, drawing from the principles of representation learning. (i) Our approach utilizes an online knowledge distillation neural network, (ii) a novel data augmentation module, and (iii) a unified optimization mechanism that caters to both contrastive learning and similarity learning objective tasks. We have experimentally validated our method on four real-world time series datasets and one ECG signal dataset, and proves better results than previous methods, demonstrating superior performance compared to existing techniques. MORL achieves significant reductions in MSE by up to 20.9% and MAE by up to 22.1% in energy series datasets, marking notable improvements.","","979-8-3315-3626-8","10.1109/ICSP65755.2025.11086755","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11086755","Time series forecasting;Representation learning;Multi-Objective Joint optimization","Representation learning;Time series analysis;Contrastive learning;Predictive models;Signal processing;Semisupervised learning;Robustness;Forecasting;Optimization;Similarity learning","","","","20","IEEE","28 Jul 2025","","","IEEE","IEEE Conferences"
"Dynamic Hypergraph Structure Learning for Multivariate Time Series Forecasting","S. Wang; Y. Zhang; X. Lin; Y. Hu; Q. Huang; B. Yin","Beijing Key Laboratory of Multimedia and Intelligent Software Technology, Beijing Artificial Intelligence Institute, Faculty of Information Technology, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Multimedia and Intelligent Software Technology, Beijing Artificial Intelligence Institute, Faculty of Information Technology, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Multimedia and Intelligent Software Technology, Beijing Artificial Intelligence Institute, Faculty of Information Technology, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Multimedia and Intelligent Software Technology, Beijing Artificial Intelligence Institute, Faculty of Information Technology, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Multimedia and Intelligent Software Technology, Beijing Artificial Intelligence Institute, Faculty of Information Technology, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Multimedia and Intelligent Software Technology, Beijing Artificial Intelligence Institute, Faculty of Information Technology, Beijing University of Technology, Beijing, China",IEEE Transactions on Big Data,"11 Jul 2024","2024","10","4","556","567","Multivariate time series forecasting plays an important role in many domain applications, such as air pollution forecasting and traffic forecasting. Modeling the complex dependencies among time series is a key challenging task in multivariate time series forecasting. Many previous works have used graph structures to learn inter-series correlations, which have achieved remarkable performance. However, graph networks can only capture spatio-temporal dependencies between pairs of nodes, which cannot handle high-order correlations among time series. We propose a Dynamic Hypergraph Structure Learning model (DHSL) to solve the above problems. We generate dynamic hypergraph structures from time series data using the K-Nearest Neighbors method. Then a dynamic hypergraph structure learning module is used to optimize the hypergraph structure to obtain more accurate high-order correlations among nodes. Finally, the hypergraph structures dynamically learned are used in the spatio-temporal hypergraph neural network. We conduct experiments on six real-world datasets. The prediction performance of our model surpasses existing graph network-based prediction models. The experimental results demonstrate the effectiveness and competitiveness of the DHSL model for multivariate time series forecasting.","2332-7790","","10.1109/TBDATA.2024.3362188","National Key R&D Program of China(grant numbers:2021ZD0111902); National Natural Science Foundation of China(grant numbers:62072015,62172023,U21B2038,61632006,61876012,61902053); Natural Science Foundation of Beijing(grant numbers:4222021); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10420432","Graph neural network;hypergraph structure learning;multivariate time series forecasting","Time series analysis;Forecasting;Correlation;Predictive models;Data models;Adaptation models;Recurrent neural networks","","24","","37","IEEE","5 Feb 2024","","","IEEE","IEEE Journals"
"Adaptive Graph Structure Learning Neural Rough Differential Equations for Multivariate Time Series Forecasting","Y. Su; T. Ma; H. Rong; M. M. A. Wahab","School of Computer Science, School of Cyber Science and Engineering, Nanjing University of Information Science & Technology, Nanjing, China; School of Computer Engineering, Jiangsu Ocean University, Jiangsu, China; School of Artificial Intelligence (School of Future Technology), Nanjing University of Information Science & Technology, Nanjing, China; Faculty of Science, Cairo University, Cario, Egypt",IEEE Transactions on Big Data,"3 Sep 2025","2025","11","5","2710","2723","Multivariate time series forecasting has extensive applications in urban computing, such as financial analysis, weather prediction, and traffic forecasting. Using graph structures to model the complex correlations among variables in time series, and leveraging graph neural networks and recurrent neural networks for temporal aggregation and spatial propagation stage, has shown promise. However, traditional methods’ graph structure node learning and discrete neural architecture are not sensitive to issues such as sudden changes, time variance, and irregular sampling often found in real-world data. To address these challenges, we propose a method called Adaptive Graph structure Learning neural Rough Differential Equations (AGLRDE). Specifically, we combine dynamic and static graph structure learning to adaptively generate a more robust graph representation. Then we employ a spatio-temporal encoder-decoder based on Neural Rough Differential Equations (Neural RDE) to model spatio-temporal dependencies. Additionally, we introduce a path reconstruction loss to constrain the path generation stage. We conduct experiments on six benchmark datasets, demonstrating that our proposed method outperforms existing state-of-the-art methods. The results show that AGLRDE effectively handles aforementioned challenges, significantly improving the accuracy of multivariate time series forecasting.","2332-7790","","10.1109/TBDATA.2025.3552334","National Natural Science Foundation of China(grant numbers:62372243); National Natural Science Foundation of China(grant numbers:62102187,42175194); STDF Egypt(grant numbers:43088); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10938288","Graph structure learning;neural ordinary differential equations;multivariate time series forecasting","Time series analysis;Forecasting;Predictive models;Mathematical models;Adaptation models;Correlation;Data models;Graph neural networks;Computational modeling;Accuracy","","2","","40","IEEE","24 Mar 2025","","","IEEE","IEEE Journals"
"EGENN: An Efficient Graph-Enhanced Neural Network for Multivariate Time Series Forecasting","H. Xu; H. Zhu; Y. Chen; C. Yi; B. Wei; F. Jiang","Faculty of Computing, Harbin Institute of Technology, Harbin, China; School of Medicine and Health, Harbin Institute of Technology, Harbin, China; School of Computer Science, University of Nottingham Malaysia, Semenyih, Malaysia; School of Medicine and Health, Harbin Institute of Technology, Harbin, China; School of Medicine and Health, Harbin Institute of Technology, Harbin, China; School of Medicine and Health, Harbin Institute of Technology, Harbin, China","ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","7 Mar 2025","2025","","","1","5","Graph Neural Network (GNN) has been widely applied in multivariate time series forecasting due to its excellent relationship modeling capabilities. However, current methods still face limitations in computational efficiency or time series expression capabilities. To address these issues, we propose an Efficient Graph-Enhanced Neural Network (EGENN), which consists of an adjacency matrix generator, GNN, and projection module. Firstly, EGENN designs a spectral similarity-based graph construction method and further enhances the expressive power of temporal features. Secondly, we introduce an inter-layer attention graph convolutional network, which adaptively aggregates information from different network depths to better capture complex patterns. Finally, a predictive projection strategy fusing wavelet convolutions and patch-wise transformation is proposed to produce compact parameterization and extended receptive fields. Experiments on five datasets from different domains show that our model achieves state-of-the-art prediction performance while maintaining low computational resource consumption.","2379-190X","979-8-3503-6874-1","10.1109/ICASSP49660.2025.10890196","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10890196","Multivariate Time Series Forecasting;Graph Neural Network;Spectral Graph Construction;Compact Parameterization","Wavelet transforms;Adaptation models;Convolution;Graph convolutional networks;Computational modeling;Time series analysis;Predictive models;Computational efficiency;Forecasting;Speech processing","","","","20","IEEE","7 Mar 2025","","","IEEE","IEEE Conferences"
"High-dimensional Multivariate Time Series Forecasting using Self-Organizing Maps and Fuzzy Time Series","M. C. dos Santos; F. G. Guimarães; P. C. de Lima e Silva","Machine Intelligence and Data Science Laboratory (MINDS) Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Machine Intelligence and Data Science Laboratory (MINDS) Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Instituto Federal do Norte de Minas Gerais, IFNMG, Januaria, Brazil",2021 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),"5 Aug 2021","2021","","","1","6","Machine learning models that follow the FTS (Fuzzy Time Series) approach stand out as data-driven non-parametric models of easy implementation and high accuracy, which can be applied to uni-variate and multivariate time series. However, this approach encounters difficulties when dealing with databases of many variables, given the explosion of rules that are generated for the construction of models. Usually filter and wrapper techniques (e.g. Boruta test) and data projection techniques (e.g. Principal Component Analysis) are used. The present work proposes a methodology for tackling this issue by projecting the original high-dimensional data into a low dimensional embedding space using self-organizing Kohonnen maps and later using the Weighted Multivariate FTS method (WMVFTS) for rule discovery and forecasting. The results obtained showed good values of RMSE and MAPE, illustrating the validity and potential of the method.","1558-4739","978-1-6654-4407-1","10.1109/FUZZ45933.2021.9494496","National Council for Scientific and Technological Development (CNPq); Coordination for the Improvement of Higher Education (CAPES); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9494496","fuzzy time series;self-organizing maps;high-dimension databases;multivariate time series;time series forecasting","Self-organizing feature maps;Reactive power;Databases;Time series analysis;Machine learning;Predictive models;Explosions","","3","","26","IEEE","5 Aug 2021","","","IEEE","IEEE Conferences"
"Core: Transferable Long-Range Time Series Forecasting Enhanced by Covariates-Guided Representation","X. -Y. Li; P. -N. Zhong; D. Chen; Y. -B. Yang","State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; General Development Dept, Huawei Technologies Co. Ltd., Dongguan, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China","ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","5 May 2023","2023","","","1","5","In recent years, long-range time series forecasting has been actively studied and has shown promising results. However, since these methods mainly focus on predicting time series with a fixed dimension, they are inapplicable to the large-scale and ever-changing datasets that are common in real-world applications. Additionally, existing methods only take a window of the near past as input, which prevents the models from learning persistent historical patterns. To tackle these problems, we propose CoRe, a novel transferable long-term forecasting method enhanced by Covariates-guided Representation. By encoding the input series into a dense vector, CoRe is able to extract instance-wise global features. Specifically, the representation is learned by modeling the correlation between the target series and constructed auxiliary covariates, which is implemented by our proposed cross-dependency network. Comprehensive experiments on six real-world datasets show that CoRe achieves overall state-of-the-art results and can transfer to unseen data with stable performance.","2379-190X","978-1-7281-6327-7","10.1109/ICASSP49357.2023.10096231","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10096231","Time series forecasting;representation learning;temporal dependency;encoder-decoder","Correlation;Time series analysis;Signal processing;Predictive models;Feature extraction;Encoding;Acoustics","","1","","19","IEEE","5 May 2023","","","IEEE","IEEE Conferences"
"W-Transformers: A Wavelet-based Transformer Framework for Univariate Time Series Forecasting","L. Sasal; T. Chakraborty; A. Hadid","Sorbonne Center for Artificial Intelligence, Sorbonne University Abu Dhabi, Abu Dhabi, UAE; Sorbonne Center for Artificial Intelligence, Sorbonne University Abu Dhabi, Abu Dhabi, UAE; Sorbonne Center for Artificial Intelligence, Sorbonne University Abu Dhabi, Abu Dhabi, UAE",2022 21st IEEE International Conference on Machine Learning and Applications (ICMLA),"23 Mar 2023","2022","","","671","676","Deep learning utilizing transformers has recently achieved a lot of success in many vital areas such as natural language processing, computer vision, anomaly detection, and recommendation systems, among many others. Among several merits of transformers, the ability to capture long-range temporal dependencies and interactions is desirable for time series forecasting, leading to its progress in various time series applications. In this paper, we build a transformer model for non-stationary time series. The problem is challenging yet crucially important. We present a novel framework for univariate time series representation learning based on the wavelet-based transformer encoder architecture and call it W-Transformer. The proposed W-Transformers utilize a maximal overlap discrete wavelet transformation (MODWT) to the time series data and build local transformers on the decomposed datasets to vividly capture the nonstationarity and long-range nonlinear dependencies in the time series. Evaluating our framework on several publicly available benchmark time series datasets from various domains and with diverse characteristics, we demonstrate that it performs, on average, significantly better than the baseline forecasters for long-term forecasting, even for datasets that consist of only a few hundred training samples.","","978-1-6654-6283-9","10.1109/ICMLA55696.2022.00111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10069146","Transformers;time series forecasting;deep learning;wavelet decomposition","Training;Representation learning;Deep learning;Computer vision;Time series analysis;Transformers;Natural language processing","","23","","43","IEEE","23 Mar 2023","","","IEEE","IEEE Conferences"
"Multi-Scale Adaptive Graph Neural Network for Multivariate Time Series Forecasting","L. Chen; D. Chen; Z. Shang; B. Wu; C. Zheng; B. Wen; W. Zhang","College of Computer Science and Technology, Zhejiang University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China; Alibaba Group, Hangzhou, China; Alibaba Group, Hangzhou, China; Alibaba Group, Hangzhou, China",IEEE Transactions on Knowledge and Data Engineering,"14 Sep 2023","2023","35","10","10748","10761","Multivariate time series (MTS) forecasting plays an important role in the automation and optimization of intelligent applications. It is a challenging task, as we need to consider both complex intra-variable dependencies and inter-variable dependencies. Existing works only learn temporal patterns with the help of single inter-variable dependencies. However, there are multi-scale temporal patterns in many real-world MTS. Single inter-variable dependencies make the model prefer to learn one type of prominent and shared temporal patterns. In this article, we propose a multi-scale adaptive graph neural network (MAGNN) to address the above issue. MAGNN exploits a multi-scale pyramid network to preserve the underlying temporal dependencies at different time scales. Since the inter-variable dependencies may be different under distinct time scales, an adaptive graph learning module is designed to infer the scale-specific inter-variable dependencies without pre-defined priors. Given the multi-scale feature representations and scale-specific inter-variable dependencies, a multi-scale temporal graph neural network is introduced to jointly model intra-variable dependencies and inter-variable dependencies. After that, we develop a scale-wise fusion module to effectively promote the collaboration across different time scales, and automatically capture the importance of contributed temporal patterns. Experiments on six real-world datasets demonstrate that MAGNN outperforms the state-of-the-art methods across various settings.","1558-2191","","10.1109/TKDE.2023.3268199","National Key Research and Development Program of China(grant numbers:2018YFB0505000); Alibaba-Zhejiang University Joint Research Institute of Frontier Technologies; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10105527","Multivariate time series forecasting;multi-scale modeling;graph neural network;graph learning","Forecasting;Time series analysis;Predictive models;Graph neural networks;Adaptive systems;Adaptation models;Power demand","","125","","46","IEEE","19 Apr 2023","","","IEEE","IEEE Journals"
"TimeDRL: Disentangled Representation Learning for Multivariate Time-Series","C. Chang; C. -T. Chan; W. -Y. Wang; W. -C. Peng; T. -F. Chen","National Yang Ming Chiao Tung University, Hsinchu, Taiwan; National Yang Ming Chiao Tung University, Hsinchu, Taiwan; National Yang Ming Chiao Tung University, Hsinchu, Taiwan; National Yang Ming Chiao Tung University, Hsinchu, Taiwan; National Yang Ming Chiao Tung University, Hsinchu, Taiwan",2024 IEEE 40th International Conference on Data Engineering (ICDE),"23 Jul 2024","2024","","","625","638","Multivariate time-series data in numerous real-world applications (e.g., healthcare and industry) are informative but challenging due to the lack of labels and high dimensionality. Recent studies in self-supervised learning have shown their potential in learning rich representations without relying on labels, yet they fall short in learning disentangled embeddings and addressing issues of inductive bias (e.g., transformation-invariance). To tackle these challenges, we propose TimeDRL, a generic multivariate time-series representation learning frame-work with disentangled dual-level embeddings. TimeDRL is characterized by three novel features: (i) disentangled derivation of timestamp-level and instance-level embeddings from patched time-series data using a [CLS] token strategy; (ii) utilization of timestamp-predictive and instance-contrastive tasks for disentangled representation learning, with the former optimizing timestamp-level embeddings with predictive loss, and the latter optimizing instance-level embeddings with contrastive loss; and (iii) avoidance of augmentation methods to eliminate inductive biases, such as transformation-invariance from cropping and masking. Comprehensive experiments on 6 time-series forecasting datasets and 5 time-series classification datasets have shown that TimeDRL consistently surpasses existing representation learning approaches, achieving an average improvement of forecasting by 58.02% in MSE and classification by 1.48% in accuracy. Further-more, extensive ablation studies confirmed the relative contribution of each component in TimeDRL's architecture, and semi-supervised learning evaluations demonstrated its effectiveness in real-world scenarios, even with limited labeled data. The code is available at https://github.com/blacksnail789521/TimeDRL.","2375-026X","979-8-3503-1715-2","10.1109/ICDE60146.2024.00054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10597874","Representation Learning;Multivariate Time-Series;Self-Supervised Learning;Time-Series Forecasting;Time-Series Classification","Industries;Accuracy;Large language models;Disentangled representation learning;Self-supervised learning;Medical services;Semisupervised learning","","11","","52","IEEE","23 Jul 2024","","","IEEE","IEEE Conferences"
