"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Hou, C.; Yu, Y.; Ji, J.; Zhang, S.; Shen, X.; Yan, J.","Hou, Chunyi (59900896800); Yu, Yongchuan (57191407551); Ji, Jinquan (58816329100); Zhang, Siyao (59900896900); Shen, Xumeng (59169847600); Yan, Jianzhuo (7403729298)","59900896800; 57191407551; 58816329100; 59900896900; 59169847600; 7403729298","Graph-patchformer: Patch interaction transformer with adaptive graph learning for multivariate time series forecasting","2026","Neural Networks","194","","108140","","","0","10.1016/j.neunet.2025.108140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017578253&doi=10.1016%2Fj.neunet.2025.108140&partnerID=40&md5=26ef847e6d66565f8be6d55187d88c7b","Article","Final","","Scopus","2-s2.0-105017578253"
"Li, F.; Peng, W.; Zhang, M.; Wang, M.; Zhang, H.","Li, Fengjie (59961725000); Peng, Wu (60216390500); Zhang, Mingyu (59961915100); Wang, Miao (58363589400); Zhang, Suheng (21744262400)","59961725000; 60216390500; 59961915100; 58363589400; 21744262400","Dual Attention Transformer with Multi-scale Perception for Multivariate Time Series Forecasting","2026","Lecture Notes in Computer Science","15920 LNAI","","","312","324","0","10.1007/978-981-95-3052-6_24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023321097&doi=10.1007%2F978-981-95-3052-6_24&partnerID=40&md5=bfe22fa3fa93a08a31d8851ddb8ca8fb","Conference paper","Final","","Scopus","2-s2.0-105023321097"
"Gorantla, S.; Machapatri, V.V.","Gorantla, Sanjay (60200149300); Machapatri, Vishnu Vardhan (60199679300)","60200149300; 60199679300","Enhancing Salesforce Sales Forecasting with Contrastive Learning-Based Time Series Representation","2026","Lecture Notes in Networks and Systems","1602 LNNS","","","356","368","0","10.1007/978-3-032-03558-5_29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022198681&doi=10.1007%2F978-3-032-03558-5_29&partnerID=40&md5=1b3ec3b620c1bf9ead3219c7690fd5be","Conference paper","Final","","Scopus","2-s2.0-105022198681"
"Xie, S.; Jiang, H.; Zhao, C.; Yang, X.","Xie, Shaobo (60195835000); Jiang, Han (58576022700); Zhao, Chenlin (58505697000); Yang, Xiaoshan (55699428500)","60195835000; 58576022700; 58505697000; 55699428500","M3E: Mixture of Multi-scale Multi-modal Experts for Time Series Forecasting","2026","Lecture Notes in Computer Science","16161 LNCS","","","65","76","0","10.1007/978-981-95-3398-5_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022009847&doi=10.1007%2F978-981-95-3398-5_6&partnerID=40&md5=fd3f62f69248e8106ed66abb25ca5f44","Conference paper","Final","","Scopus","2-s2.0-105022009847"
"Mo, Y.; Wang, H.; Yao, Z.; Yang, C.; Li, B.; Jiang, Y.; Fan, S.; Mo, S.","Mo, Yipeng (58776264300); Wang, Haoxin (58755153300); Yao, Zuhua (59383761400); Yang, Chengteng (59383063500); Li, Bi Xiong (25631051300); Jiang, Yiping (60154221500); Fan, Songhai (35321776100); Mo, Site (26645083800)","58776264300; 58755153300; 59383761400; 59383063500; 25631051300; 60154221500; 35321776100; 26645083800","DiM: Improving multivariate time series forecasting with DI embedding and multi-head graph learning mechanism","2026","Neurocomputing","659","","131777","","","0","10.1016/j.neucom.2025.131777","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019697728&doi=10.1016%2Fj.neucom.2025.131777&partnerID=40&md5=eeefd7f02cf30fc4d5b085dd7b0a1069","Article","Final","","Scopus","2-s2.0-105019697728"
"Wei, B.; Hei, Y.; Wan, Y.","Wei, Bingsheng (57423439400); Hei, Yonghua (60089679700); Wan, Yuan (36906776600)","57423439400; 60089679700; 36906776600","Attention-based spatial-temporal interactive couple neural networks for multivariate time series forecasting","2026","Information Sciences","723","","122647","","","0","10.1016/j.ins.2025.122647","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015299668&doi=10.1016%2Fj.ins.2025.122647&partnerID=40&md5=64920dd9125b1b4b985968a27ad06285","Article","Final","","Scopus","2-s2.0-105015299668"
"Li, X.; Zuo, Z.; Dong, Z.; Zhao, H.; Wan, L.; Cheng, H.","Li, Xuguang (57215107554); Zuo, Zhonglin (57762140400); Dong, Zheng (57224480151); Zhao, Hongke (56718821800); Wan, Luanfei (58968088600); Cheng, Hongfang (57201991625)","57215107554; 57762140400; 57224480151; 56718821800; 58968088600; 57201991625","Multi-resolution leak detection based on shared expert MoE forecasting for natural gas pipelines","2026","Information Processing and Management","63","1","104353","","","0","10.1016/j.ipm.2025.104353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013570282&doi=10.1016%2Fj.ipm.2025.104353&partnerID=40&md5=3a87c22128ab82f528ca7644ee98e62f","Article","Final","","Scopus","2-s2.0-105013570282"
"My, L.N.T.; Nguyen, V.; Vo, T.","My, Linh Nguyen Thi (59193398500); Nguyen, Vu (59453673400); Vo, Tham (57204163635)","59193398500; 59453673400; 57204163635","An Efficient Denoising Transformer-Based Architecture for Long-Ranged Time-Series Air Quality Prediction","2025","Concurrency and Computation: Practice and Experience","37","27-28","e70450","","","0","10.1002/cpe.70450","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022757918&doi=10.1002%2Fcpe.70450&partnerID=40&md5=dcb2ccc2890dbfd735610765fc57f16a","Article","Final","","Scopus","2-s2.0-105022757918"
"Qian, Y.; Pang, P.","Qian, Yicheng (60143813000); Pang, Pufan (60143724200)","60143813000; 60143724200","Adaptive hybrid spatial hypergraph convolution module with data embedding optimization for stock ranking prediction","2025","Physica A: Statistical Mechanics and its Applications","680","","131046","","","0","10.1016/j.physa.2025.131046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018908575&doi=10.1016%2Fj.physa.2025.131046&partnerID=40&md5=3aa2e025031e9fed30d8b64de1d70f82","Article","Final","","Scopus","2-s2.0-105018908575"
"Wu, B.; Shang, Z.; Huang, J.; Chen, L.","Wu, Binqing (57850692800); Shang, Zongjiang (57210798114); Huang, Jianlong (58818121700); Chen, Ling (57193157981)","57850692800; 57210798114; 58818121700; 57193157981","MillGNN: Learning Multi-Scale Lead-Lag Dependencies for Multi-Variate Time Series Forecasting","2025","","","","","3344","3354","0","10.1145/3746252.3761173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023171986&doi=10.1145%2F3746252.3761173&partnerID=40&md5=eabaeb524cdb76274879b12dec5d28a7","Conference paper","Final","","Scopus","2-s2.0-105023171986"
