type,id,abstract,address,articleno,author,booktitle,doi,isbn,issn,issue_date,journal,keywords,location,note,number,numpages,pages,publisher,series,title,url,volume,year
inproceedings,10.1145/3539618.3591784,"Knowledge graph embedding (KGE) aims to project both entities and relations in a knowledge graph (KG) into low-dimensional vectors. Indeed, existing KGs suffer from the data imbalance issue, i.e., entities and relations conform to a long-tail distribution, only a small portion of entities and relations occur frequently, while the vast majority of entities and relations only have a few training samples. Existing KGE methods assign equal weights to each entity and relation during the training process. Under this setting, long-tail entities and relations are not fully trained during training, leading to unreliable representations. In this paper, we propose WeightE, which attends differentially to different entities and relations. Specifically, WeightE is able to endow lower weights to frequent entities and relations, and higher weights to infrequent ones. In such manner, WeightE is capable of increasing the weights of long-tail entities and relations, and learning better representations for them. In particular, WeightE tailors bilevel optimization for the KGE task, where the inner level aims to learn reliable entity and relation embeddings, and the outer level attempts to assign appropriate weights for each entity and relation. Moreover, it is worth noting that our technique of applying weights to different entities and relations is general and flexible, which can be applied to a number of existing KGE models. Finally, we extensively validate the superiority of WeightE against various state-of-the-art baselines.","New York, NY, USA",,"Zhang, Zhao and Guan, Zhanpeng and Zhang, Fuwei and Zhuang, Fuzhen and An, Zhulin and Wang, Fei and Xu, Yongjun",Proceedings of the 46th International ACM SIGIR Conference on Research and Development in Information Retrieval,10.1145/3539618.3591784,9781450394086,,,,"bilevel optimization, knowledge graph embedding, link prediction","Taipei, Taiwan",,,11,867–877,Association for Computing Machinery,SIGIR '23,Weighted Knowledge Graph Embedding,https://doi.org/10.1145/3539618.3591784,,2023
inproceedings,10.1145/3711896.3737046,"Multivariate Time Series Forecasting (MTSF) involves predicting future values of multiple interrelated time series. Recently, deep learning-based MTSF models have gained significant attention for their promising ability to mine semantics (global and local information) within MTS data. However, these models are pervasively susceptible to missing values caused by malfunctioning data collectors. These missing values not only disrupt the semantics of MTS, but their distribution also changes over time. Nevertheless, existing models lack robustness to such issues, leading to suboptimal forecasting performance. To this end, in this paper, we propose Multi-View Representation Learning (Merlin), which can help existing models achieve semantic alignment between incomplete observations with different missing rates and complete observations in MTS. Specifically, Merlin consists of two key modules: offline knowledge distillation and multi-view contrastive learning. The former utilizes a teacher model to guide a student model in mining semantics from incomplete observations, similar to those obtainable from complete observations. The latter improves the student model's robustness by learning from positive/negative data pairs constructed from incomplete observations with different missing rates, ensuring semantic alignment across different missing rates. Therefore, Merlin is capable of effectively enhancing the robustness of existing models against unfixed missing rates while preserving forecasting accuracy. Experiments on four real-world datasets demonstrate the superiority of Merlin.","New York, NY, USA",,"Yu, Chengqing and Wang, Fei and Yang, Chuanguang and Shao, Zezhi and Sun, Tao and Qian, Tangwen and Wei, Wei and An, Zhulin and Xu, Yongjun",Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,10.1145/3711896.3737046,9798400714542,,,,"multi-view contrastive learning, multi-view representation learning, multivariate time series forecasting with unfixed missing rates, offline knowledge distillation","Toronto ON, Canada",,,12,3633–3644,Association for Computing Machinery,KDD '25,Merlin: Multi-View Representation Learning for Robust Multivariate Time Series Forecasting with Unfixed Missing Rates,https://doi.org/10.1145/3711896.3737046,,2025
article,10.1145/3718091,"Real-world time series data is inherently complex, noisy, and exhibits abrupt changes, posing various challenges in data modeling. Given the ubiquity and importance of time series data, accurately forecasting change points, instead of the overall predictive performance, has become increasingly attractive as it assists in risk mitigation and loss prevention. In this task, we argue that the past and future interactions involving the target points determine the comprehensive structure contributing to abrupt changes. However, traditional left-to-right auto-regressive approaches only consider the historical sequence, resulting in a flawed learning process and limited performance.In this article, we extend the teacher-student learning and propose a novel Self-optimizing Teacher and Auto-matching Student framework (named ST-AS) to predict change points in time series data. Our framework models change-point representations specific to the target points by integrating future knowledge while avoiding data leakage. Specifically, we design a Gumbel-enhanced filter for our self-optimizing teacher, which constructs selected and filtered sub-groups to derive discriminative representations using a positive-unlabeled learning strategy. Given this well-trained teacher, we propose an adaptive pattern matcher for our auto-matching student model, which learns missing information by automatically aligning relevant features. After that, a novel two-stage dual-guided learning process is then designed to mimic teacher’s decision-making behavior and enhance student’s excavate capability. Finally, we conduct extensive experiments on four real-world datasets to demonstrate that our proposed ST-AS exhibits significantly better prediction performance compared to existing state-of-the-art alternatives.","New York, NY, USA",72,"Fan, Jinxiao and Wang, Pengfei and Liu, Liang and Ma, Huadong",,10.1145/3718091,,2157-6904,June 2025,ACM Trans. Intell. Syst. Technol.,"Time series forecasting, Teacher-student framework, Representation learning",,,3,25,,Association for Computing Machinery,,Self-Optimizing Teacher and Auto-Matching Student Framework for Change-Point Representation Learning in Time Series Forecasting,https://doi.org/10.1145/3718091,16,2025
inproceedings,10.1145/3746252.3761007,"Multivariate time series (MTS) forecasting is crucial for predicting the future states of complexly coupled variables based on historical observations. To effectively capture the intricate interdependencies within MTS, graph-based methods have emerged as powerful tools. However, existing graph construction methods often produce structures that fail to preserve key temporal and cross-variable dependencies, introducing redundant or irrelevant connections. To address these challenges, we propose a structural entropy-based approach for MTS forecasting. The approach optimizes graph structures by reducing structural redundancy, thereby improving forecasting accuracy. Initially, we represent the temporal dependences by constructing an encoding tree incrementally. Through hierarchical organization of time steps, the temporal evolution is adaptively captured. Subsequently, we give the community-aware representation by building an encoding tree over the variables in MTS, extracting homogeneous communities from the tree structure while integrating community influence to better capture inter-variable dependencies. Finally,we present a training algorithm designed to generate accurate predictions for MTS, accompanied by a unified loss function that integrates forecasting inaccuracies with variations in structural entropy. Empirical findings on real-world datasets substantiate that our approach outperforms state-of-the-art models in capturing dependencies and enhancing forecasting precision.","New York, NY, USA",,"Li, Xinhui and Yue, Kun and Yu, Lixing and Yang, Peizhong",Proceedings of the 34th ACM International Conference on Information and Knowledge Management,10.1145/3746252.3761007,9798400720406,,,,"encoding tree, interseries correlation, intra-series correlation, multivariate time series forecasting, structural entropy","Seoul, Republic of Korea",,,10,1696–1705,Association for Computing Machinery,CIKM '25,Structural Entropy-based Multivariate Time Series Forecasting,https://doi.org/10.1145/3746252.3761007,,2025
inproceedings,10.1145/3690624.3709202,"Leveraging graph structures for time-series forecasting has garnered significant attention due to their effective relationship modeling between nodes and their associated time-series. However, in scenarios entities communicate in a broadcasting manner, graph models fall short of pairwise modeling. Hypergraph models address this by capturing beyond-pairwise interactions among node time-series. Nevertheless, most hypergraph models overlook the dynamics between nodes and their incident hyperedges, assuming constant node-hyperedge connections. In this paper, we introduce a novel model, Probabilistic Hypergraph Recurrent Neural Networks (PHRNN), which leverages node-hyperedge dynamics for accurate time-series forecasting. PHRNN associates each time-series with a node and models node interactions on a hypergraph, capturing beyond-pairwise interactions. Moreover, PHRNN learns a probabilistic hypergraph in which node-hyperedge relations are modeled as probabilistic distributions instead of fixed values, capturing dynamic node-hyperedge relations. PHRNN further integrates a prior knowledge KNN hypergraph as regularization when learning the probabilistic hypergraph structure. To the best of our knowledge, PHRNN is the first time-series forecasting model that incorporates hypergraph modeling and probabilistic relationship modeling. Forecasting results from extensive experiments show that PHRNN outperforms state-of-the-art graph and hypergraph baselines on real-world datasets.","New York, NY, USA",,"Chen, Hongjie and Rossi, Ryan A. and Kim, Sungchul and Mahadik, Kanak and Eldardiry, Hoda",Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.1,10.1145/3690624.3709202,9798400712456,,,,"hypergraph neural networks, probabilistic modeling, time-series forecasting","Toronto ON, Canada",,,12,82–93,Association for Computing Machinery,KDD '25,Probabilistic Hypergraph Recurrent Neural Networks for Time-series Forecasting,https://doi.org/10.1145/3690624.3709202,,2025
inproceedings,10.1145/3711896.3737137,"Recent successes in diffusion probabilistic models have demonstrated their strength in modeling and generating different types of data, paving the way for their application in generative time series forecasting. However, most existing diffusion based approaches rely on sequential models and unimodal latent variables to capture global dependencies and model entire observable data, resulting in difficulties when it comes to highly stochastic time series data. In this paper, we propose a novel Stochastic Diffusion (StochDiff) model that integrates the diffusion process into time series modeling stage and utilizes the representational power of the stochastic latent spaces to capture the variability of the stochastic time series data. Specifically, the model applies diffusion module at each time step within the sequential framework and learns a step-wise, data-driven prior for generative diffusion process. These features enable the model to effectively capture complex temporal dynamics and the multi-modal nature of the highly stochastic time series data. Through extensive experiments on real-world datasets, we demonstrate the effectiveness of our proposed model for probabilistic time series forecasting, particularly in scenarios with high stochasticity. Additionally, with a real-world surgical use case, we highlight the model's potential in a medical application.","New York, NY, USA",,"Liu, Yuansan and Wijewickrema, Sudanthi and Hu, Dongting and Bester, Christofer and O'Leary, Stephen and Bailey, James",Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,10.1145/3711896.3737137,9798400714542,,,,"diffusion probabilistic model, latent representation learning, stochastic time series, time series forecasting","Toronto ON, Canada",,,12,1939–1950,Association for Computing Machinery,KDD '25,Stochastic Diffusion: A Diffusion Based Model for Stochastic Time Series Forecasting,https://doi.org/10.1145/3711896.3737137,,2025
inproceedings,10.1145/3759928.3759960,"In recent years, Transformer architectures have attracted considerable attention in multivariate time series forecasting due to their powerful sequence modeling capabilities. However, existing methods primarily focus on temporal dependencies while often overlooking complex lagged relationships among variables, where the current state of a variable is mainly influenced by the historical state of other variables at certain previous time steps, indicating strong lagged correlations among them. To address this limitation, we propose STLAformer, a novel model based on a Segment-based Temporal Lag Attention (STLA) mechanism. By partitioning multivariate time series into local segments and introducing a delay-aware attention module, STLAformer effectively captures cross-variable lagged dependencies. Additionally, we design a Temporal Preservation Segmentation Embedding (TPSE) module to independently encode each segment, preserving local dynamic features, and incorporate learnable temporal encoding to enhance the model's representation of temporal structures. Experimental results demonstrate that our approach achieves significant improvements in modeling capability and forecasting accuracy over existing Transformer variants on multiple real-world multivariate time series forecasting tasks, especially exhibiting stronger generalization ability when handling complex lag dependencies.","New York, NY, USA",,"Zhao, Yuhui and Sun, Lijie","Proceedings of the 2nd International Conference on Image Processing, Machine Learning, and Pattern Recognition",10.1145/3759928.3759960,9798400715884,,,,"Multivariate Dependency, Temporal Lag Attention, Time Series Forecasting, Transformer","
",,,6,186–191,Association for Computing Machinery,IPMLP '25,STLAformer: Segment-based Temporal Lag Attention effective for time series forecasting,https://doi.org/10.1145/3759928.3759960,,2025
article,10.1145/3643035,"Domain generalization aims to design models that can effectively generalize to unseen target domains by learning from observed source domains. Domain generalization poses a significant challenge for time series data, due to varying data distributions and temporal dependencies. Existing approaches to domain generalization are not designed for time series data, which often results in suboptimal or unstable performance when confronted with diverse temporal patterns and complex data characteristics. We propose a novel approach to tackle the problem of domain generalization in time series forecasting. We focus on a scenario where time series domains share certain common attributes and exhibit no abrupt distribution shifts. Our method revolves around the incorporation of a key regularization term into an existing time series forecasting model: domain discrepancy regularization. In this way, we aim to enforce consistent performance across different domains that exhibit distinct patterns. We calibrate the regularization term by investigating the performance within individual domains and propose the domain discrepancy regularization with domain difficulty awareness. We demonstrate the effectiveness of our method on multiple datasets, including synthetic and real-world time series datasets from diverse domains such as retail, transportation, and finance. Our method is compared against traditional methods, deep learning models, and domain generalization approaches to provide comprehensive insights into its performance. In these experiments, our method showcases superior performance, surpassing both the base model and competing domain generalization models across all datasets. Furthermore, our method is highly general and can be applied to various time series models.","New York, NY, USA",113,"Deng, Songgaojun and Sprangers, Olivier and Li, Ming and Schelter, Sebastian and de Rijke, Maarten",,10.1145/3643035,,1556-4681,June 2024,ACM Trans. Knowl. Discov. Data,"Time series forecasting, domain generalization, regularization",,,5,24,,Association for Computing Machinery,,Domain Generalization in Time Series Forecasting,https://doi.org/10.1145/3643035,18,2024
inproceedings,10.1145/3746252.3761261,"Financial time-series forecasting is critical for maintaining economic stability, guiding informed policymaking, and promoting sustainable investment practices. However, it remains challenging due to various underlying pattern shifts. These shifts arise primarily from three sources: temporal non-stationarity (distribution changes over time), multi-domain diversity (distinct patterns across financial domains such as stocks, commodities, and futures), and varying temporal resolutions (patterns differing across per-second, hourly, daily, or weekly indicators). While recent deep learning methods attempt to address these complexities, they frequently suffer from overfitting and typically require extensive domain-specific fine-tuning. To overcome these limitations, we introduce FinCast, the first foundation model specifically designed for financial time-series forecasting, trained on large-scale financial datasets. Remarkably, FinCast exhibits robust zero-shot performance, effectively capturing diverse patterns without domain-specific fine-tuning. Comprehensive empirical and qualitative evaluations demonstrate that FinCast surpasses existing state-of-the-art methods, highlighting its strong generalization capabilities.","New York, NY, USA",,"Zhu, Zhuohang and Chen, Haodong and Qu, Qiang and Chung, Vera",Proceedings of the 34th ACM International Conference on Information and Knowledge Management,10.1145/3746252.3761261,9798400720406,,,,"computational finance, decoder-only transformer, financial timeseries forecast, foundation models, mixture of experts","Seoul, Republic of Korea",,,11,4539–4549,Association for Computing Machinery,CIKM '25,FinCast: A Foundation Model for Financial Time-Series Forecasting,https://doi.org/10.1145/3746252.3761261,,2025
inproceedings,10.1145/3746252.3761055,"Multivariate long-term time series forecasting is pivotal across numerous domains, yet precise predictions require a differentiated assessment of historical time segments due to their varying influence on future trends. Patch-based Transformer frameworks show promise for capturing local temporal patterns. However, they face limitations with static patching, which disrupts temporal continuity, fails to adapt to shifts between periodic and volatile patterns, and overlooks dynamic interactions between time segments and variables. To address these limitations, we propose Entropy-Aware Patch Transformer (EAPformer) which dynamically segments time series for differentiated assessments of historical patterns. Specifically, we overcome static patching limitations by leveraging temporal entropy to dynamically adjust patch boundaries through a two-stage policy, achieving interpretable and context-sensitive segmentation. Subsequently, we adapt EAPformer to periodic and volatile dynamics by employing entropy-aware segmentation that captures distinct temporal patterns across diverse segments. Finally, we further capture dynamic interactions across time segments and variables by introducing a multi-dimensional dependency learning architecture. Additionally, a gated fusion mechanism integrates local and global patterns, enhancing robustness. Extensive experiments on eight public benchmarks demonstrate that EAPformer outperforms state-of-the-art models, achieving superior accuracy across all metrics.","New York, NY, USA",,"Ling, Jiahao and Yang, Xuan and Gong, Shimin and Gu, Bo",Proceedings of the 34th ACM International Conference on Information and Knowledge Management,10.1145/3746252.3761055,9798400720406,,,,"entropy-aware, multivariate long-term time series forecasting, patch, transformer","Seoul, Republic of Korea",,,11,1850–1860,Association for Computing Machinery,CIKM '25,EAPformer: Entropy-Aware Patch Transformer for Multivariate Long-Term Time Series Forecasting,https://doi.org/10.1145/3746252.3761055,,2025
