"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Recurrent Spatio-Temporal Graph Neural Network Based on Latent Time Graph for Multi-Channel Time Series Forecasting","L. Li; X. Zhou; G. Hu; S. Li; D. Jia","Key Laboratory of Networked Control System, Shenyang, China; Key Laboratory of Networked Control System, Shenyang, China; Key Laboratory of Networked Control System, Shenyang, China; Key Laboratory of Networked Control System, Shenyang, China; Key Laboratory of Networked Control System, Shenyang, China",IEEE Signal Processing Letters,"21 Oct 2024","2024","31","","2875","2879","With the advancement of technology, the field of multi-channel time series forecasting has emerged as a focal point of research. In this context, spatio-temporal graph neural networks have attracted significant interest due to their outstanding performance. An established approach involves integrating graph convolutional networks into recurrent neural networks. However, this approach faces difficulties in capturing dynamic spatial correlations and discerning the correlation of multi-channel time series signals. Another major problem is that the discrete time interval of recurrent neural networks limits the accuracy of spatio-temporal prediction. To address these challenges, we propose a continuous spatio-temporal framework, termed Recurrent Spatio-Temporal Graph Neural Network based on Latent Time Graph (RST-LTG). RST-LTG incorporates adaptive graph convolution networks with a time embedding generator to construct a latent time graph, which subtly captures evolving spatial characteristics by aggregating spatial information across multiple time steps. Additionally, to improve the accuracy of continuous time modeling, we introduce a gate enhanced neural ordinary differential equation that effectively integrates information across multiple scales. Empirical results on four publicly available datasets demonstrate that the RST-LTG model outperforms 19 competing methods in terms of accuracy.","1558-2361","","10.1109/LSP.2024.3479917","Basic Research Program Project of the Shenyang Institute of Automation; Chinese Academy of Sciences(grant numbers:2022000346); Liaoning Province Applied Basic Research Program(grant numbers:2022JH2/101300255); Chinese Academy of Sciences(grant numbers:E329100101); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10715638","Multi-channel time series signal;spatio-temporal graph neural network;neural ordinary differential equation;latent time graph","Time series analysis;Convolution;Predictive models;Forecasting;Correlation;Decoding;Mathematical models;Feature extraction;Attention mechanisms;Adaptation models","","7","","33","IEEE","14 Oct 2024","","","IEEE","IEEE Journals"
"Spatiotemporal Causal Discovery Graph Convolutional Networks for Multivariate Time Series Forecasting of Industrial Process","S. Zheng; K. Hao; X. Shi; X. Cai; L. Chen","College of Information Science and Technology, Donghua University, Shanghai, China; College of Information Science and Technology, Donghua University, Shanghai, China; College of Information Science and Technology, Donghua University, Shanghai, China; College of Information Science and Technology, Donghua University, Shanghai, China; College of Information Science and Technology, Donghua University, Shanghai, China","2023 IEEE 6th Information Technology,Networking,Electronic and Automation Control Conference (ITNEC)","30 Mar 2023","2023","6","","264","271","Traditional neural network methods cannot make full use of the potential relationships between multiple variables in industrial processes due to their nonlinearity and coupling complex relationship, then multivariate time series forecasting is challenging. In this paper, a novel graph neural network model for multivariate time series forecasting is proposed based on spatiotemporal causal discovery. First, a spatiotemporal causal discovery algorithm is designed to extract the potential relationships between multiple temporal variables, then the multivariate time series spatiotemporal causal graph is constructed. Next, the graph convolution network module and the gated temporal convolution network module are integrated to extract the potential causal relationship, short-term dependence and long-term dependence of multiple variables. Finally, Experiments on a real industrial dataset show that our proposed method has higher prediction accuracy and broad application prospects in industrial processes and other complex systems of multivariate time series.","2693-3128","978-1-6654-6004-0","10.1109/ITNEC56291.2023.10082527","Ministry of Science and Technology; Fundamental Research Funds for the Central Universities; National Natural Science Foundation of China; Natural Science Foundation of Shanghai; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10082527","Causal discovery algorithm;graph neural network;gated temporal convolution;multivariate time series forecasting","Convolution;Time series analysis;Process control;Predictive models;Logic gates;Prediction algorithms;Spatiotemporal phenomena","","2","","28","IEEE","30 Mar 2023","","","IEEE","IEEE Conferences"
"Time-Decay Dynamic Graph Neural Network for Multivariate Time Series Forecasting","Y. Luo; B. Wang; Y. Luo; R. Yin; Y. Wang; Q. Xiong","School of Big Data and Software Engineering, Chongqing University, Chongqing, China; School of Big Data and Software Engineering, Chongqing University, Chongqing, China; School of Big Data and Software Engineering, Chongqing University, Chongqing, China; School of Big Data and Software Engineering, Chongqing University, Chongqing, China; School of Big Data and Software Engineering, Chongqing University, Chongqing, China; School of Big Data and Software Engineering, Chongqing University, Chongqing, China",2024 International Joint Conference on Neural Networks (IJCNN),"9 Sep 2024","2024","","","1","8","Multivariate Time Series (MTS) forecasting is to accurately predict future trends through in-depth analysis of historical time series data, and to provide valuable reference to support for decision-making. Because of its complex time variations, some deep learning methods are applied to model time series, where Graph Neural Networks (GNNs) are included as their powerful capability to model variables’ relationship. However, these methods ignored to either construct the graph structure by considering the dual features of periodic and aperiodic characteristics in time series or dynamically capture the time variations patterns by short- and long-term dependencies. In this paper, we propose a model named Time-Decay Dynamic Graph Neural Network (TDDGNN), which combines period-aware mechanism with a dual-attention time-decay dynamic graph structure. To consider the dual features in time series, Feature Extraction (FE) module is designed to mine the periodic features and aperiodic features. Otherwise, Time-Decay Dual attetion dynamic graph (TDD) module is designed for exploring both short- and long-time intervals. The experimental results show that the TDDGNN model outperforms baseline models on the three datasets. The results of this study will provide a valuable reference scheme for solving the problem of periodic characteristics and correlationship between variables in MTS forecasting.","2161-4407","979-8-3503-5931-2","10.1109/IJCNN60899.2024.10651177","National Natural Science Foundation of China; Natural Science Foundation of Chongqing; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10651177","multivariate time series;graph neural network;dynamic graph;periodicity","Deep learning;Time series analysis;Decision making;Benchmark testing;Feature extraction;Market research;Graph neural networks","","","","22","IEEE","9 Sep 2024","","","IEEE","IEEE Conferences"
"EGENN: An Efficient Graph-Enhanced Neural Network for Multivariate Time Series Forecasting","H. Xu; H. Zhu; Y. Chen; C. Yi; B. Wei; F. Jiang","Faculty of Computing, Harbin Institute of Technology, Harbin, China; School of Medicine and Health, Harbin Institute of Technology, Harbin, China; School of Computer Science, University of Nottingham Malaysia, Semenyih, Malaysia; School of Medicine and Health, Harbin Institute of Technology, Harbin, China; School of Medicine and Health, Harbin Institute of Technology, Harbin, China; School of Medicine and Health, Harbin Institute of Technology, Harbin, China","ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","7 Mar 2025","2025","","","1","5","Graph Neural Network (GNN) has been widely applied in multivariate time series forecasting due to its excellent relationship modeling capabilities. However, current methods still face limitations in computational efficiency or time series expression capabilities. To address these issues, we propose an Efficient Graph-Enhanced Neural Network (EGENN), which consists of an adjacency matrix generator, GNN, and projection module. Firstly, EGENN designs a spectral similarity-based graph construction method and further enhances the expressive power of temporal features. Secondly, we introduce an inter-layer attention graph convolutional network, which adaptively aggregates information from different network depths to better capture complex patterns. Finally, a predictive projection strategy fusing wavelet convolutions and patch-wise transformation is proposed to produce compact parameterization and extended receptive fields. Experiments on five datasets from different domains show that our model achieves state-of-the-art prediction performance while maintaining low computational resource consumption.","2379-190X","979-8-3503-6874-1","10.1109/ICASSP49660.2025.10890196","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10890196","Multivariate Time Series Forecasting;Graph Neural Network;Spectral Graph Construction;Compact Parameterization","Wavelet transforms;Adaptation models;Convolution;Graph convolutional networks;Computational modeling;Time series analysis;Predictive models;Computational efficiency;Forecasting;Speech processing","","","","20","IEEE","7 Mar 2025","","","IEEE","IEEE Conferences"
"PANDA: Patch-Aware Graph Network with Dual Alignment for Time Series Forecasting","C. Li; H. Zhang; S. Abbas; C. Ma; Y. Liu; X. Tu","School of Informatics, Xiamen University, Xiamen, China; School of Informatics, Xiamen University, Xiamen, China; University of Engineering & Technology, Lahore, Pakistan; School of Informatics, Xiamen University, Xiamen, China; Institute of Artificial Intelligence, Xiamen University, Xiamen, China; School of Informatics, Xiamen University, Xiamen, China","ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","7 Mar 2025","2025","","","1","5","Multivariate time series (MTS) forecasting aims to predict future patterns by extracting features from multivariate history. Predominant methods face challenges in learning spatial dependencies while capturing long-term trends and local details, leading to suboptimal performance in MTS forecasting. To address this problem, we propose a Patch-Aware graph Network with Dual Alignment (PANDA) of features in both time and frequency domain. Specifically, we utilize a patch-aware graph neural network to extract spatio-temporal dependencies. Additionally, dual alignment is employed for multi-perspective optimization. By performing multi-view joint optimization, our model reduces feature redundancy and improves the extraction of structured spatio-temporal patterns. Extensive experiments demonstrate that PANDA achieves superior forecasting accuracy in both long- and short-time series forecasting. Code is available at this repository: https://github.com/lichen0620/PANDA.","2379-190X","979-8-3503-6874-1","10.1109/ICASSP49660.2025.10889936","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10889936","Multivariate Time Series Forecasting;Frequency domain;Graph Neural Network","Frequency-domain analysis;Time series analysis;Semantics;Termination of employment;Signal processing;Feature extraction;Forecasting;Time-domain analysis;Speech processing;Optimization","","","","29","IEEE","7 Mar 2025","","","IEEE","IEEE Conferences"
"Multi-Scale Adaptive Graph Neural Network for Multivariate Time Series Forecasting","L. Chen; D. Chen; Z. Shang; B. Wu; C. Zheng; B. Wen; W. Zhang","College of Computer Science and Technology, Zhejiang University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China; Alibaba Group, Hangzhou, China; Alibaba Group, Hangzhou, China; Alibaba Group, Hangzhou, China",IEEE Transactions on Knowledge and Data Engineering,"14 Sep 2023","2023","35","10","10748","10761","Multivariate time series (MTS) forecasting plays an important role in the automation and optimization of intelligent applications. It is a challenging task, as we need to consider both complex intra-variable dependencies and inter-variable dependencies. Existing works only learn temporal patterns with the help of single inter-variable dependencies. However, there are multi-scale temporal patterns in many real-world MTS. Single inter-variable dependencies make the model prefer to learn one type of prominent and shared temporal patterns. In this article, we propose a multi-scale adaptive graph neural network (MAGNN) to address the above issue. MAGNN exploits a multi-scale pyramid network to preserve the underlying temporal dependencies at different time scales. Since the inter-variable dependencies may be different under distinct time scales, an adaptive graph learning module is designed to infer the scale-specific inter-variable dependencies without pre-defined priors. Given the multi-scale feature representations and scale-specific inter-variable dependencies, a multi-scale temporal graph neural network is introduced to jointly model intra-variable dependencies and inter-variable dependencies. After that, we develop a scale-wise fusion module to effectively promote the collaboration across different time scales, and automatically capture the importance of contributed temporal patterns. Experiments on six real-world datasets demonstrate that MAGNN outperforms the state-of-the-art methods across various settings.","1558-2191","","10.1109/TKDE.2023.3268199","National Key Research and Development Program of China(grant numbers:2018YFB0505000); Alibaba-Zhejiang University Joint Research Institute of Frontier Technologies; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10105527","Multivariate time series forecasting;multi-scale modeling;graph neural network;graph learning","Forecasting;Time series analysis;Predictive models;Graph neural networks;Adaptive systems;Adaptation models;Power demand","","125","","46","IEEE","19 Apr 2023","","","IEEE","IEEE Journals"
"Global-local Spatiotemporal Graph Neural Network for Power Load Forecasting","Y. Zhao; H. Li; Y. Guo; Z. Dong; C. Wang; D. Wang; Y. Su; P. Zhu","Tianshui Power Supply Company of State Grid Gansu Province Electric Power Company, Tianshui, China; The State Grid Gansu Province Electric Power Company, Lanzhou, China; Tianshui Power Supply Company of State Grid Gansu Province Electric Power Company, Tianshui, China; Tianshui Power Supply Company of State Grid Gansu Province Electric Power Company, Tianshui, China; Tianshui Power Supply Company of State Grid Gansu Province Electric Power Company, Tianshui, China; Tianshui Power Supply Company of State Grid Gansu Province Electric Power Company, Tianshui, China; Tianshui Power Supply Company of State Grid Gansu Province Electric Power Company, Tianshui, China; Tongji University, Shanghai, China",2024 5th International Conference on Clean Energy and Electric Power Engineering (ICCEPE),"27 Mar 2025","2024","","","343","348","Accurate power load forecasting is crucial for efficient grid management, benefiting production and living. However, traditional methods based on recurrent neural network fail to capture spatial details and complex inter-enterprise relationships, leading to prediction accuracy limitations. To solve this problem, this paper uses graph neural network (GNN) to capture the complex enterprises relationships, and recurrent neural network (RNN) to capture the spatiotemporal power load dependencies. Moreover, the unique characteristics of enterprise power consumption mode make local feature also an important factor in multivariable power load forecasting. Finally, a Global-local Spatiotemporal Graph Neural Network (GL-STGNN) model is proposed to improve the accuracy of power load forecasting. The model uses GRU and GCN to capture spatiotemporal dependence, discrete Fourier transform (DFT)to extract frequency domain features, and node Embedding to fuse features in encoders and decoders, thus comprehensively considering local features and global information. Experiments show improved accuracy and practical forecasting effectiveness over traditional approaches.","","979-8-3503-9031-5","10.1109/ICCEPE62686.2024.10931504","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10931504","power load forecasting;graph neural network;recurrent neural network","Accuracy;Recurrent neural networks;Correlation;Load forecasting;Predictive models;Feature extraction;Graph neural networks;Spatiotemporal phenomena;Decoding;Load modeling","","","","22","IEEE","27 Mar 2025","","","IEEE","IEEE Conferences"
"Dynamic Hypergraph Structure Learning for Multivariate Time Series Forecasting","S. Wang; Y. Zhang; X. Lin; Y. Hu; Q. Huang; B. Yin","Beijing Key Laboratory of Multimedia and Intelligent Software Technology, Beijing Artificial Intelligence Institute, Faculty of Information Technology, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Multimedia and Intelligent Software Technology, Beijing Artificial Intelligence Institute, Faculty of Information Technology, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Multimedia and Intelligent Software Technology, Beijing Artificial Intelligence Institute, Faculty of Information Technology, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Multimedia and Intelligent Software Technology, Beijing Artificial Intelligence Institute, Faculty of Information Technology, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Multimedia and Intelligent Software Technology, Beijing Artificial Intelligence Institute, Faculty of Information Technology, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Multimedia and Intelligent Software Technology, Beijing Artificial Intelligence Institute, Faculty of Information Technology, Beijing University of Technology, Beijing, China",IEEE Transactions on Big Data,"11 Jul 2024","2024","10","4","556","567","Multivariate time series forecasting plays an important role in many domain applications, such as air pollution forecasting and traffic forecasting. Modeling the complex dependencies among time series is a key challenging task in multivariate time series forecasting. Many previous works have used graph structures to learn inter-series correlations, which have achieved remarkable performance. However, graph networks can only capture spatio-temporal dependencies between pairs of nodes, which cannot handle high-order correlations among time series. We propose a Dynamic Hypergraph Structure Learning model (DHSL) to solve the above problems. We generate dynamic hypergraph structures from time series data using the K-Nearest Neighbors method. Then a dynamic hypergraph structure learning module is used to optimize the hypergraph structure to obtain more accurate high-order correlations among nodes. Finally, the hypergraph structures dynamically learned are used in the spatio-temporal hypergraph neural network. We conduct experiments on six real-world datasets. The prediction performance of our model surpasses existing graph network-based prediction models. The experimental results demonstrate the effectiveness and competitiveness of the DHSL model for multivariate time series forecasting.","2332-7790","","10.1109/TBDATA.2024.3362188","National Key R&D Program of China(grant numbers:2021ZD0111902); National Natural Science Foundation of China(grant numbers:62072015,62172023,U21B2038,61632006,61876012,61902053); Natural Science Foundation of Beijing(grant numbers:4222021); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10420432","Graph neural network;hypergraph structure learning;multivariate time series forecasting","Time series analysis;Forecasting;Correlation;Predictive models;Data models;Adaptation models;Recurrent neural networks","","24","","37","IEEE","5 Feb 2024","","","IEEE","IEEE Journals"
"$\mathrm{S}^{2}$-GNN: Time Series Forecasting with a Multi-Scale Adaptive Graph Neural Network Integrating Spatial and Spectral Graph Convolutions","W. Li; Y. Jiang; W. Huo","Civil Aviation University of China, Tianjin, China; Civil Aviation University of China, Tianjin, China; Civil Aviation University of China, Tianjin, China",2025 IEEE International Symposium on Parallel and Distributed Processing with Applications (ISPA),"28 Nov 2025","2025","","","609","616","Existing multivariate time series forecasting (MTSF) methods have begun to explore architectures built entirely upon Graph Neural Networks (GNNs). Directly connecting variables across different timestamps with a fully connected adjacency matrix introduces unnecessary noise and ignores the inherent temporal ordering between nodes. Besides this, the limited depth of Spatial graph convolutional layers restricts the ability of the model to capture long-term dependencies. We propose $\text{S}^{\text{2}}$-$\text{GNN}$, a multi-scale adaptive graph neural network method, which fusion spatial and spectral graph convolutions. An adaptive mechanism is used to capture the unidirectional relationship between nodes at different timestamps, which enables the construction of a graph structure that preserves the temporal order. Multi-order neighbor information and original node features are fused at each layer of spatial graph convolution to improve the local feature extraction capability of the spatial graph convolution. $\text{S}^{\text{2}}$-GNN introduces spectral graph convolution and applies singular value decomposition (SVD) in the frequency domain to decompose the adjacency matrix and implement spectral graph convolution, which enables the extraction of key structural information and provides a compact representation of global spatio-temporal dependencies. We conduct extensive experiments on 7 public datasets for time series forecasting. The experimental results show that the $\text{S}^{\text{2}}$-GNN outperforms typical baseline models in time series forecasting tasks.","2158-9208","979-8-3315-6684-5","10.1109/ISPA67752.2025.00084","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11245321","time series forecasting;graph neural networks;spatio-temporal graph;spectral graph convolution;data mining","Adaptation models;Adaptive systems;Time series analysis;Predictive models;Feature extraction;Graph neural networks;Data mining;Forecasting;Spectral analysis;Singular value decomposition","","","","21","IEEE","28 Nov 2025","","","IEEE","IEEE Conferences"
"MDG: A Multi-Task Dynamic Graph Generation Framework for Multivariate Time Series Forecasting","L. Huang; J. Yuan; S. Chen; X. Li","Key Laboratory of Big Data and Artificial Intelligence in Transportation, Ministry of Education, Beijing Jiaotong University, Beijing, China; Key Laboratory of Big Data and Artificial Intelligence in Transportation, Ministry of Education, Beijing Jiaotong University, Beijing, China; Key Laboratory of Big Data and Artificial Intelligence in Transportation, Ministry of Education, Beijing Jiaotong University, Beijing, China; School of Civil Engineering, Beijing Jiaotong University, Beijing, China",IEEE Transactions on Emerging Topics in Computational Intelligence,"27 Mar 2024","2024","8","2","1337","1349","For accurate forecasting of multivariate time series, it is essential to consider the relationship between temporal and spatial dimensions. Graph neural networks (GNNs) have gained popularity in recent years due to their ability to capture spatio-temporal correlations in a graph topology from multivariate time series. However, most existing GNN-based algorithms rely on predefined sensor distributions, limiting their applicability. Moreover, models that generate graphs without prior knowledge may overlook local conditions while constructing adjacency matrices. In this paper, we propose a multi-task learning approach that utilizes an AutoEncoder architecture for multivariate time series forecasting. Our method dynamically generates an adjacency matrix that is more focused on local changes in addition to a global graph structure that captures overall trends. The dynamic graph generation mechanism adaptively generates the adjacency matrix, and the two generated graphs are fused to avoid the issue of fixed matrices. We conducted experiments on publicly available datasets and introduced two new civil engineering datasets on tunnel boring machines to validate the effectiveness of our proposed model. Results demonstrate that our approach outperforms other baselines in terms of predictive performance.","2471-285X","","10.1109/TETCI.2024.3352407","National Key R&D Program of China(grant numbers:2022YFE0200400); Fundamental Research Funds for the Central Universities(grant numbers:2022JBMC011); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10415071","Multi-task learning;multivariate time series;time series forecasting;graph neural network","Time series analysis;Forecasting;Multitasking;Convolutional neural networks;Computational modeling;Autoregressive processes;Graph neural networks","","7","","33","IEEE","26 Jan 2024","","","IEEE","IEEE Journals"
