"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Reina-Jiménez, P.; Martínez-Ballesteros, M.; Riquelme, J.C.","Reina-Jiménez, Pablo (58615980900); Martínez-Ballesteros, María Del Mar (35409627600); Riquelme, José C. (57219716128)","58615980900; 35409627600; 57219716128","Deep Learning or Trees? A Trade-off Analysis for Multivariate Time Series Forecasting","2026","Lecture Notes in Computer Science","16008 LNCS","","","616","627","0","10.1007/978-3-032-02725-2_48","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019640004&doi=10.1007%2F978-3-032-02725-2_48&partnerID=40&md5=d9ef5c1cf473f32260e77b821093423a","Conference paper","Final","","Scopus","2-s2.0-105019640004"
"Wei, B.; Hei, Y.; Wan, Y.","Wei, Bingsheng (57423439400); Hei, Yonghua (60089679700); Wan, Yuan (36906776600)","57423439400; 60089679700; 36906776600","Attention-based spatial-temporal interactive couple neural networks for multivariate time series forecasting","2026","Information Sciences","723","","122647","","","0","10.1016/j.ins.2025.122647","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015299668&doi=10.1016%2Fj.ins.2025.122647&partnerID=40&md5=64920dd9125b1b4b985968a27ad06285","Article","Final","","Scopus","2-s2.0-105015299668"
"Qiao, Y.; Zhao, P.; Wang, J.; Hu, R.; Li, M.; Yuan, X.; Li, M.; Wei, Z.; Feng, C.","Qiao, Yan (36988851000); Zhao, Pei (58613639100); Wang, Junjie (59493974300); Hu, Rongyao (59639819500); Li, Minyue (59482815000); Yuan, Xinyu (58603364200); Li, Meng (57190021912); Wei, Zhenchun (16235377000); Feng, Cuiying (57192666788)","36988851000; 58613639100; 59493974300; 59639819500; 59482815000; 58603364200; 57190021912; 16235377000; 57192666788","Multivariate Time Series forecasting based on temporal decomposition and graph neural network","2025","Engineering Applications of Artificial Intelligence","161","","112074","","","2","10.1016/j.engappai.2025.112074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015047661&doi=10.1016%2Fj.engappai.2025.112074&partnerID=40&md5=5446f1de74386a6fdac9946e482442d4","Article","Final","","Scopus","2-s2.0-105015047661"
"Xun, Y.; Han, S.; Cai, J.; Yang, H.; Zhang, J.","Xun, Yaling (56660461300); Han, Shuo (59604273900); Cai, Jianghui (24478242000); Yang, Haifeng (36683563300); Zhang, Jifu (14033466100)","56660461300; 59604273900; 24478242000; 36683563300; 14033466100","Sensitivity-propagated dual-frequency graph neural network for multivariate time series forecasting","2025","Neurocomputing","657","","131644","","","0","10.1016/j.neucom.2025.131644","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017232186&doi=10.1016%2Fj.neucom.2025.131644&partnerID=40&md5=9485ae8c201387b865a707395ea6e782","Article","Final","","Scopus","2-s2.0-105017232186"
"Shao, Z.; Wang, F.; Sun, T.; Yu, C.; Fang, Y.; Jin, G.; An, Z.; Liu, Y.; Qu, X.; Xu, Y.","Shao, Zezhi (57226121258); Wang, Fei (55681809700); Sun, Tao (57207178625); Yu, Chengqing (57215870430); Fang, Yuchen (57222173355); Jin, Guangyin (60190340900); An, Zhulin (25960651600); Liu, Yang (57294760700); Qu, Xiaobo (59974967700); Xu, Yongjun (7406453263)","57226121258; 55681809700; 57207178625; 57215870430; 57222173355; 60190340900; 25960651600; 57294760700; 59974967700; 7406453263","HUTFormer: Hierarchical U-Net transformer for long-term traffic forecasting","2025","Communications in Transportation Research","5","","100218","","","0","10.1016/j.commtr.2025.100218","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021468094&doi=10.1016%2Fj.commtr.2025.100218&partnerID=40&md5=c8b60aa6ee92f78ec54660df1d856457","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105021468094"
"Deng, L.; Sha, W.","Deng, Liguo (59981014400); Sha, Wendan (59980036700)","59981014400; 59980036700","Efficient spatial-temporal feature aggregation for multivariate time series forecasting with STCA","2025","Digital Signal Processing: A Review Journal","167","","105460","","","0","10.1016/j.dsp.2025.105460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010165958&doi=10.1016%2Fj.dsp.2025.105460&partnerID=40&md5=6650bd9378912f12ef5acfda354ef180","Article","Final","","Scopus","2-s2.0-105010165958"
"Sohrabbeig, A.; Ardakanian, O.; Musílek, P.","Sohrabbeig, Amirhossein (58781506400); Ardakanian, Omid (35242108200); Musílek, Petr (6602209739)","58781506400; 35242108200; 6602209739","Long-Term Forecasting of Multivariate Urban Data via Decomposition and Spatio-Temporal Graph Analysis","2025","","","","","161","170","0","10.1145/3736425.3770109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022980249&doi=10.1145%2F3736425.3770109&partnerID=40&md5=ddb5097b1d35bc4080f42e3a8bef902b","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105022980249"
"Wu, B.; Huang, J.; Shang, Z.; Chen, L.","Wu, Binqing (57850692800); Huang, Jianlong (58818121700); Shang, Zongjiang (57210798114); Chen, Ling (57193157981)","57850692800; 58818121700; 57210798114; 57193157981","ST-Hyper: Learning High-Order Dependencies Across Multiple Spatial-Temporal Scales for Multivariate Time Series Forecasting","2025","","","","","3333","3343","0","10.1145/3746252.3761281","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023198894&doi=10.1145%2F3746252.3761281&partnerID=40&md5=4b4d7c85ba95a2c437b65dcb74aee7a5","Conference paper","Final","","Scopus","2-s2.0-105023198894"
"Wu, B.; Shang, Z.; Huang, J.; Chen, L.","Wu, Binqing (57850692800); Shang, Zongjiang (57210798114); Huang, Jianlong (58818121700); Chen, Ling (57193157981)","57850692800; 57210798114; 58818121700; 57193157981","MillGNN: Learning Multi-Scale Lead-Lag Dependencies for Multi-Variate Time Series Forecasting","2025","","","","","3344","3354","0","10.1145/3746252.3761173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023171986&doi=10.1145%2F3746252.3761173&partnerID=40&md5=eabaeb524cdb76274879b12dec5d28a7","Conference paper","Final","","Scopus","2-s2.0-105023171986"
"Yamak, P.T.; Li, Y.; Zhang, T.; Pathan, M.S.","Yamak, Peter Tettey (57208780170); Li, Yujian (56040371300); Zhang, Ting (57198705645); Pathan, Muhammad Salman (57192688833)","57208780170; 56040371300; 57198705645; 57192688833","Kolmogorov-Arnold networks for time series forecasting: a comprehensive review","2025","Cluster Computing","28","14","929","","","0","10.1007/s10586-025-05574-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018185398&doi=10.1007%2Fs10586-025-05574-9&partnerID=40&md5=c31c4ae8d7d871998d8b48f9815af0b3","Article","Final","","Scopus","2-s2.0-105018185398"
"Tan, G.; Wang, Y.; Xiao, Z.; He, D.; Sa, G.","Tan, Gang (59440709700); Wang, Yueyang (56968260900); Xiao, Ziyi (59439934500); He, Dandan (59441108800); Sa, Guodong (57205416899)","59440709700; 56968260900; 59439934500; 59441108800; 57205416899","From a multi-period perspective: A periodic dynamics forecasting network for multivariate time series forecasting","2025","Pattern Recognition","167","","111760","","","1","10.1016/j.patcog.2025.111760","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004734272&doi=10.1016%2Fj.patcog.2025.111760&partnerID=40&md5=854d248e457a88fe0915d0bcab791309","Article","Final","","Scopus","2-s2.0-105004734272"
"Cheng, Y.; Bao, S.; Ke, Y.; Chen, J.; Liu, M.","Cheng, Youcai (60094313500); Bao, Shumei (57555943900); Ke, Yuhao (60094685800); Chen, Jiaxin (60094685900); Liu, Mengyang (60094957800)","60094313500; 57555943900; 60094685800; 60094685900; 60094957800","DS-SGCHN: dynamic-static synergetic graph convolutional hierarchical network for traffic forecasting","2025","Measurement Science and Technology","36","9","096205","","","0","10.1088/1361-6501/ae014b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015584259&doi=10.1088%2F1361-6501%2Fae014b&partnerID=40&md5=4bd36308a46e1b501c12917aa3605a02","Article","Final","","Scopus","2-s2.0-105015584259"
"Ma, M.; Tang, K.; Li, H.; Teng, F.; Zhang, D.; Li, T.","Ma, Minbo (57215675045); Tang, Kai (59205397400); Li, Huan (57201868584); Teng, Fei (36134106600); Zhang, Dalin (57202792363); Li, Tianrui (7406372548)","57215675045; 59205397400; 57201868584; 36134106600; 57202792363; 7406372548","Beyond Fixed Variables: Expanding-variate Time Series Forecasting via Flat Scheme and Spatio-temporal Focal Learning","2025","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","2","","","2054","2065","1","10.1145/3711896.3736854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014313885&doi=10.1145%2F3711896.3736854&partnerID=40&md5=0d64f9d3531cce0b8cc7dddc7324796f","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014313885"
"Zhang, H.; Wang, J.; Liu, Z.; Dong, H.","Zhang, Haili (58280604000); Wang, Jiawei (58925439100); Liu, Zhaobo (57210426818); Dong, Hailing (36174815100)","58280604000; 58925439100; 57210426818; 36174815100","Enhancing Multivariate Time Series Forecasting: A Novel Approach with Mallows Model Averaging and Graph Neural Networks","2025","Journal of Systems Science and Complexity","38","4","","1707","1729","1","10.1007/s11424-024-4044-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199613153&doi=10.1007%2Fs11424-024-4044-9&partnerID=40&md5=27d6f8a8c5e3380536951ab346e9836f","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85199613153"
"Cen, J.; Zeng, L.; Liu, X.; Yang, J.; Li, X.; Deng, F.","Cen, Jian (57207508365); Zeng, Linzhe (58870217200); Liu, Xi (57208606056); Yang, Jianming (57116885700); Li, Xinyao (57219691477); Deng, Feiqi (59542774400)","57207508365; 58870217200; 57208606056; 57116885700; 57219691477; 59542774400","Frequency-domain analysis for cooling load prediction: A Multi-Scale FourierGNN Crossformer approach","2025","International Journal of Refrigeration","176","","","268","283","2","10.1016/j.ijrefrig.2025.04.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004694010&doi=10.1016%2Fj.ijrefrig.2025.04.018&partnerID=40&md5=82589ed5ab946fe62d03c4cee259f244","Article","Final","","Scopus","2-s2.0-105004694010"
